사업장명,도로명전체,인허가일자,영업상태명,위생업태명,x_wgs84,y_wgs84
카페앙 수원점,경기도 수원시 팔달구 덕영대로 924 (매산로1가),20121017,운영중,커피숍,126.99991446398792,37.266161584438024
화려한초대,경기도 수원시 장안구 송원로59번길 15 (송죽동),20121024,폐업 등,커피숍,127.00759171409257,37.30078615186991
설다방(雪다방),"경기도 수원시 팔달구 덕영대로 915, 2~3층 (매산로1가)",20100806,운영중,커피숍,127.00155118147742,37.26720773638706
로티맘천천점,"경기도 수원시 장안구 만석로19번길 11-7, 109호 (천천동,대일프라자)",20101007,폐업 등,커피숍,126.98340613674965,37.295491527924
빽다방수원장안 CGV점,"경기도 수원시 장안구 경수대로 940, 108호 (조원동,일호골든타워)",20110506,운영중,커피숍,127.00810945294316,37.30313653160153
에스케이(SK)네트웍스영통점,"경기도 수원시 영통구 봉영로 1590 (영통동, 995-5 밀레니엄프라자 120호)",20121121,폐업 등,커피숍,127.07344363367426,37.252763585552366
파이앤커피,"경기도 수원시 영통구 매탄로140번길 54-18 (매탄동, 1253-1, 1층일부)",20121212,운영중,커피숍,127.04642802517293,37.26163178039821
모이커피,"경기도 수원시 영통구 봉영로 1620, 1층 105,106,107호 (영통동, 대우월드마크영통)",20140421,운영중,커피숍,127.07562216406104,37.25499981762166
밀크앙수원점(에이케이에스앤디(주)),"경기도 수원시 팔달구 덕영대로 924 (매산로1가, AK플라자 지하1층)",20140509,운영중,커피숍,126.99991446398792,37.266161584438024
작은콩커피,"경기도 수원시 장안구 만석로68번길 10 (정자동, 현대코오롱아파트제상가동1층101호)",20141010,운영중,커피숍,126.98811583471901,37.29624275501876
카페블라썸,"경기도 수원시 팔달구 정조로 687, 1층 (매교동)",20141017,운영중,커피숍,127.01717839177343,37.26990632789339
커피에반하다,"경기도 수원시 영통구 영통로 136, 1층 104호 (망포동)",20150209,운영중,커피숍,127.05638814492002,37.23965941430592
내커피,"경기도 수원시 장안구 파장천로19번길 18-10, 1층 (파장동)",20150212,운영중,커피숍,126.99406064808879,37.30814029508623
마이키친수원점,"경기도 수원시 팔달구 덕영대로 924, 지하2층 (매산로1가)",20120327,운영중,커피숍,126.99991446398792,37.266161584438024
