pid,hid,area,area_siz,hhld_siz,fly_typ,gender,byear,age_gr,age,marry,income_gr,job,job_type,job_etc,mob_use,mob_num,mob_csp,mob_dev,c01,c01_gr,c02,c02_gr,c03,c03_gr,c04,c04_gr,c05,c05_gr,app_pay,appin_pay,app_num,app_num_gr,appin_num,appin_gr,c06,c06_gr,freq_app1,freq_app2,freq_app3,sns_use,freq_sns1,freq_sns2,freq_sns3,cmt_board,wt_board,wt_news,rating,wt_wiki,wt_sns,rating_sns,sns_read,sns_write,sns_share,sns_eng,sns_priv,news_med1,news_med2,news_med3,news_plat1,news_plat2,news_plat3,channel,shop,shop_dev,shop_pay
120003,1200,1,1,3,3,1,1991,3,28,1,7,1,1, ,1,1,2,3, , , , , , , , , , ,2,2, , , , , , ,11,19,3,2, , , ,1,1,1,1,1,1,1, , , , , ,3,2, ,3,2, ,1,1,1,1
120004,1200,1,1,3,3,2,1993,3,26,1,2,2, ,4,1,1,3,2, , , , , , , , ,15,4,2,2, , , , , , ,19,17,16,2, , , ,1,1,1,1,1,1,1, , , , , ,3,2, ,3,3, ,5,1,1,4
130001,1300,1,1,2,2,1,1947,8,72,2,3,2, ,4,1,1,3,1, , , , , , , , , , ,2,2, , , , , , ,11,18,19,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,7, , , 
130002,1300,1,1,2,2,2,1950,7,69,2,1,2, ,2,1,1,3,2, , , , , , , , , , ,2,2, , , , , , ,19,11,18,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,7, , , 
140001,1400,1,1,1,1,2,1962,6,57,3,5,1,1, ,1,1,3,2,0,1,0,1, , , , , , ,2,2, , , , , , ,19,9,6,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,6,2, , 
160001,1600,1,1,2,2,1,1951,7,68,2,4,1,1, ,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,9,11,18,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,7, , , 
160002,1600,1,1,2,2,2,1952,7,67,2,2,2, ,2,1,1,2,2, , , , , , , , , , ,2,2, , , , , , ,11,9,18,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,8,2, , 
180001,1800,1,1,1,1,2,1967,6,52,4,4,1,2, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,19,11,9,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,1,2, , 
220001,2200,1,1,2,2,1,1952,7,67,2,5,1,1, ,1,1,3,2,0,1,0,1,0,1, , , , ,2,2, , , , , , ,11,6,9,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7,2, , 
220002,2200,1,1,2,2,2,1954,7,65,2,1,2, ,2,1,1,3,1,0,1,0,1,0,1, , , , ,2,2, , , , , , ,19,11,6,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1,2, , 
230001,2300,1,1,3,4,1,1961,6,58,2,8,1,1, ,1,1,1,1,0,1,0,1,10,3,0,1,0,1,2,1, , ,5,2,6,2,8,10,6,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
230002,2300,1,1,3,4,2,1955,7,64,2,1,2, ,2,1,1,2,1,0,1,0,1, , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
250002,2500,1,1,2,3,1,1974,5,45,1,6,1,1, ,1,1,3,1, , ,0,1,0,1,0,1,0,1,2,2, , , , , , ,8,9,4,1,12,1, ,6,6,6,6,5,6,2,1,9,7,9,2, , , , , , ,1,1,1,1
260001,2600,1,1,3,3,1,1961,6,58,2,7,1,1, ,1,1,2,1,0,1,0,1,0,1, , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
260002,2600,1,1,3,3,2,1963,6,56,2,1,2, ,2,1,1,1,1,0,1,0,1,0,1, , , , ,2,2, , , , , , ,8,9,6,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1,1,1,1
270001,2700,1,1,2,2,1,1954,7,65,2,4,1,1, ,1,1,1,1,0,1,3,1, , , , ,0,1,2,2, , , , , , ,9,11,8,2, , , ,2,1,1,2,1,1,1, , , , , , , , , , , ,1,2, , 
270002,2700,1,1,2,2,2,1966,6,53,2,6,1,1, ,1,1,1,6,0,1,0,1,0,1, , ,0,1,2,2, , , , , , ,11,9,8,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
290001,2900,1,1,3,3,2,1955,7,64,2,1,2, ,2,1,1,2,6, , , , , , , , , , ,2,2, , , , , , ,19,11,8,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
290002,2900,1,1,3,3,1,1962,6,57,2,6,1,2, ,1,1,1,6, , , , , , , , , , ,2,2, , , , , , ,19,9,11,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
290003,2900,1,1,3,3,2,1985,4,34,1,6,1,1, ,1,1,1,1, , , , , , , , , , ,2,1, , ,2,1,8,2,19,11,17,1,15,2, ,1,1,1,1,1,1,3,2,4,4,4,2, , , , , , ,2,1,3,1
300001,3000,1,1,3,3,2,1963,6,56,3,5,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,19,9,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
300002,3000,1,1,3,3,2,1990,3,29,1,5,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,10,19,1,2,15, ,1,1,1,1,1,4,4,4,4,4,4,2, , , , , , ,2,1,1,1
300003,3000,1,1,3,3,2,1987,4,32,1,5,1,1, ,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,11,10,19,1,15,2, ,1,1,1,1,1,4,4,4,4,4,4,2, , , , , , ,2,1,1,1
300004,3000,1,1,3,3,1,1989,4,30,1,5,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,19,18,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,2,1,1,1
310001,3100,1,1,3,3,1,1959,7,60,2,6,1,3, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,19,8,17,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
310002,3100,1,1,3,3,2,1963,6,56,2,5,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
310003,3100,1,1,3,3,2,1992,3,27,1,6,1,1, ,1,1,1,3, , , , , , , , , , ,2,2, , , , , , ,11,10,5,1,2,15,1,4,3,1,1,1,4,3,4,4,4,4,2, , , , , , ,2,1,1,1
310004,3100,1,1,3,3,2,1994,3,25,1,5,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,10,19,1,2,15, ,1,1,1,1,1,4,4,4,4,4,4,2, , , , , , ,2,1,1,1
