pid,hid,area,area_siz,hhld_siz,fly_typ,gender,byear,age_gr,age,marry,income_gr,job,job_type,job_etc,mob_use,mob_num,mob_csp,mob_dev,c01,c01_gr,c02,c02_gr,c03,c03_gr,c04,c04_gr,c05,c05_gr,app_pay,appin_pay,app_num,app_num_gr,appin_num,appin_gr,c06,c06_gr,freq_app1,freq_app2,freq_app3,sns_use,freq_sns1,freq_sns2,freq_sns3,cmt_board,wt_board,wt_news,rating,wt_wiki,wt_sns,rating_sns,sns_read,sns_write,sns_share,sns_eng,sns_priv,news_med1,news_med2,news_med3,news_plat1,news_plat2,news_plat3,channel,shop,shop_dev,shop_pay
10530001,105300,5,1,3,3,2,1988,4,31,1,7,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,19,9,2, , , ,1,1,1,1,1,1,1, , , , , ,3,2, ,3,3, ,1,1,1,1
10530002,105300,5,1,3,3,1,1960,6,59,2,6,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,19,9,2, , , ,1,1,1,1,1,1,1, , , , , ,3,2, ,3,3, ,1,2, , 
10530003,105300,5,1,3,3,2,1964,6,55,2,5,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,19,9,2, , , ,4,1,1,1,1,1,1, , , , , ,3, , ,3, , ,1,1,1,1
10540001,105400,5,1,3,3,1,1982,4,37,2,8,1,1, ,1,1,3,1, , , , , , , , , , ,2,2, , , , , , ,11,10,9,2, , , ,4,1,1,1,1,1,1, , , , , ,3,2, ,3,3, ,1,1,1,1
10540002,105400,5,1,3,3,2,1984,4,35,2,6,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,10,6,1,15, , ,4,1,1,1,1,4,4,5,4,4,4,2,4,3,3,3,4,3,1,1,1,1
10550001,105500,5,1,3,3,1,1974,5,45,2,7,1,1, ,1,1,2,2,0,1, , , , , , ,0,1,2,2, , , , , , ,11,6,14,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,7,2, , 
10550002,105500,5,1,3,3,2,1980,4,39,2,1,2, ,2,1,1,2,1,0,1,0,1,0,1,0,1,0,1,2,2, , , , , , ,5,9,19,1,12,2, ,2,2,2,1,1,2,2,7,8,8,8,2,3, , ,3, , ,1,1,1,2
10550003,105500,5,1,3,3,1,2004,2,15,1,1,2, ,1,1,1,2,1,0,1,0,1,0,1,0,1,0,1,2,2, , , , , , ,3,18,19,1,15,2,1,2,1,1,1,1,1,1,6,7,7,6,2,3, , ,3, , ,1, , , 
10550004,105500,5,1,3,3,1,2006,2,13,1,1,2, ,1,1,1,2,1,0,1,0,1,0,1,0,1,0,1,2,2, , , , , , ,9,19,3,1,2,1,15,3,1,1,1,1,1,1,1,7,7,1,2,3, , ,3, , ,1, , , 
10550005,105500,5,1,3,3,2,2010,1,9,1,1,2, ,1,1,1,2,1,0,1,0,1, , ,0,1,0,1,2,2, , , , , , ,3,19,1,1,12,15,2,1,1,1,1,1,1,1,7,9,9,9,2, , , , , , , , , , 
10560001,105600,5,1,3,3,1,1950,7,69,2,4,1,1, ,1,0, , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
10560002,105600,5,1,3,3,2,1953,7,66,2,1,2, ,2,1,0, , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
10560003,105600,5,1,3,3,1,1977,5,42,1,5,1,1, ,1,1,2,1,0,1,0,1, , ,0,1,0,1,2,2, , , , , , ,11,1,3,1,2, , ,1,1,1,1,1,1,1,4,6,6,9,2,3, , ,3, , ,1,2, , 
10570001,105700,5,1,3,3,1,1958,7,61,2,4,1,1, ,1,1,2,1,0,1, , , , ,0,1,0,1,2,2, , , , , , ,11,19,9,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,7, , , 
10570002,105700,5,1,3,3,2,1963,6,56,2,1,2, ,2,1,1,2,1,0,1,0,1, , ,0,1,0,1,2,2, , , , , , ,6,5,9,1,12, , ,1,1,1,1,1,1,1,8,9,9,9,2,3, , ,3, , ,7,2, , 
10570004,105700,5,1,3,3,2,1991,3,28,1,6,1,1, ,1,1,2,2,0,1,0,1,0,1,0,1,0,1,2,2, , , , , , ,9,11,8,1,12, , ,2,1,2,1,1,1,1,7,7,7,7,2,3,2, ,3,3, ,1,1,1,2
10580001,105800,5,1,3,3,1,1959,7,60,2,5,1,1, ,1,1,3,1,0,1,0,1, , ,0,1,0,1,2,2, , , , , , ,11,18,6,1,12, , ,1,1,1,1,1,1,3,7,9,9,7,2,3, , ,3, , ,7, , , 
10580002,105800,5,1,3,3,2,1967,6,52,2,1,2, ,2,1,1,3,2,0,1,0,1,0,1,0,1,0,1,2,2, , , , , , ,6,9,8,1,12, , ,1,1,1,1,1,1,1,8,9,9,9,2,3, , ,3, , ,7, , , 
10580003,105800,5,1,3,3,1,1995,3,24,1,1,2, ,1,1,1,3,3,0,1,0,1,0,1,0,1,0,1,2,2, , , , , , ,18,3,19,1,12,15,16,2,1,2,1,1,3,3,6,6,9,6,2,3, , ,3, , ,1,1,1,4
10580004,105800,5,1,3,3,1,1996,3,23,1,1,2, ,1,1,1,3,1,0,1,0,1,0,1,0,1,0,1,2,2, , , , , , ,9,19,18,1,16,15,12,2,1,2,1,1,3,3,6,6,9,6,2,3, , ,3, , ,1,1,1,4
10590001,105900,5,1,2,2,1,1958,7,61,2,4,1,3, ,1,1,2,1,0,1,0,1, , ,0,1,0,1,2,2, , , , , , ,11,19,6,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,7, , , 
10590002,105900,5,1,2,2,2,1958,7,61,2,1,2, ,2,1,1,2,1,0,1,0,1, , ,0,1,0,1,2,2, , , , , , ,11,18,6,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,7,2, , 
10600001,106000,5,1,2,2,1,1955,7,64,2,5,1,1, ,1,1,2,1,0,1,0,1,0,1,0,1,0,1,2,2, , , , , , ,11,9,19,1,12, , ,1,1,1,1,1,1,1,7,9,9,9,2,3, , ,3, , ,7,2, , 
10600002,106000,5,1,2,2,2,1958,7,61,2,5,1,1, ,1,1,2,1,0,1,0,1,0,1,0,1,0,1,2,2, , , , , , ,6,14,11,1,12, , ,1,1,1,1,1,1,1,8,9,9,9,2,3, , ,3, , ,1,2, , 
10610001,106100,5,1,2,2,1,1940,8,79,2,3,2, ,4,1,1,1,1, , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
10610002,106100,5,1,2,2,2,1946,8,73,2,2,2, ,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
10620001,106200,5,1,2,2,1,1948,8,71,2,4,1,1, ,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,11, , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
10620002,106200,5,1,2,2,2,1949,8,70,2,2,2, ,2,1,1,3,2, , , , , , , , , , ,2,2, , , , , , ,11,18, ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
10630001,106300,1,1,3,3,1,1950,7,69,2,5,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
10630002,106300,1,1,3,3,2,1954,7,65,2,2,2, ,2,1,1,1,1, , , , , , , , , , ,1,1,2,1,2,1,9,2,17,18,14,1,16,2, ,1,1,1,1,1,1,1,2,2,2,2,3, , , , , , ,1,2, , 
10650001,106500,1,1,3,3,1,1977,5,42,2,10,1,1, ,1,1,3,1, , , , ,6,2, , , , ,2,2, , , , , , ,17,11,19,2, , , ,1,1,1,1,1,1,1, , , , , ,4, , ,3, , ,2,1,3,1
10650002,106500,1,1,3,3,2,1977,5,42,2,8,1,1, ,1,1,3,1, , , , ,0,1, , , , ,2,2, , , , , , ,17,11,19,2, , , ,1,1,1,1,1,1,1, , , , , ,4, , ,3, , ,2,1,3,1
10650003,106500,1,1,3,3,2,2009,2,10,1,1,2, ,1,2, , , , , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , , , , , 
10650004,106500,1,1,3,3,1,2012,1,7,1,1,2, ,1,2, , , , , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , , , , , 
10660001,106600,1,1,3,3,1,1977,5,42,2,10,1,1, ,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,19,14,11,2, , , ,1,1,1,1,1,1,1, , , , , ,4, , ,2, , ,1,1,1,1
10660002,106600,1,1,3,3,2,1978,5,41,2,10,1,1, ,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,17,11,19,2, , , ,1,1,1,1,1,1,1, , , , , ,4, , ,3, , ,2,1,1,2
10660003,106600,1,1,3,3,2,2009,2,10,1,1,2, ,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , , , , , 
10670001,106700,1,1,3,3,1,1959,7,60,2,6,1,3, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,19,11,3,2, , , ,1,1,1,1,1,1,1, , , , , ,1,3, ,1,3, ,5, , , 
10670002,106700,1,1,3,3,2,1956,7,63,2,1,2, ,2,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,19,9,6,2, , , ,1,1,1,1,1,1,1, , , , , ,1, , ,1, , ,1,2, , 
10670003,106700,1,1,3,3,2,1992,3,27,1,3,1,3, ,1,1,1,1, , ,3,1, , ,4,1, , ,2,2, , , , , , ,11,19, ,1,15,1,23,1,1,1,1,1,3,3,1,4,2,1,1,3,1, ,3,1, ,5,1,1,3
10670004,106700,1,1,3,3,2,1994,3,25,1,5,1,1, ,1,1,1,1, , , , , , ,5,2, , ,1,2,4,1, , ,8,2,11,19,16,1,15,23, ,1,1,1,2,1,2,1,5,6,6,6,2,1, , ,1, , ,1,1,1,2
10670005,106700,1,1,3,3,1,1996,3,23,1,2,2, ,3,1,1,1,1, , , , ,20,5, , , , ,1,2,3,1, , ,7,2,16,11,19,1,1,2,15,1,1,2,1,1,1,2,1,9,9,1,2, , , , , , ,1,1,1,5
10680001,106800,1,1,3,3,1,1976,5,43,2,11,1,1, ,1,1,3,1,0,1, , ,0,1, , , , ,2,2, , , , , , ,14,19,11,2, , , ,1,1,1,2,1,1,1, , , , , ,4, , ,3, , ,2,1,1,1
10680002,106800,1,1,3,3,2,1976,5,43,2,2,2, ,2,1,1,3,1,0,1, , ,0,1, , , , ,2,2, , , , , , ,17,11,19,2, , , ,1,1,1,1,1,1,1, , , , , ,4, , ,3, , ,2,1,3,1
10680003,106800,1,1,3,3,1,2006,2,13,1,1,2, ,1,1,1,3,1,0,1, , ,0,1,0,1, , ,2,2, , , , , , ,17,1,11,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
10680004,106800,1,1,3,3,2,2008,2,11,1,1,2, ,1,2, , , ,0,1, , ,0,1, , , , ,2,2, , , , , , ,1,17,19,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , , , , , 
10690002,106900,1,1,3,3,2,1976,5,43,2,1,2, ,2,1,1,2,1, , , , , , , , , , ,1,1,2,1,2,1,15,4,19,17,18,1,2,16, ,1,1,1,1,1,1,1,4,7,4,4,3,3, , ,3, , ,1,1,1,2
10690003,106900,1,1,3,3,1,2004,2,15,1,1,2, ,1,1,0, , , , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
10690004,106900,1,1,3,3,1,2006,2,13,1,1,2, ,1,1,0, , , , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
10700001,107000,1,1,3,3,1,1935,8,84,2,1,2, ,4,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,17,18,11,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
10700002,107000,1,1,3,3,2,1937,8,82,2,1,2, ,2,1,0, , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
10710001,107100,1,1,1,1,1,1944,8,75,1,4,1,1, ,1,0, , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,6, , , 
10720003,107200,1,1,3,5,2,1981,4,38,1,7,1,1, ,1,1,1,1, , ,5,2, , , , , , ,2,2, , , , , , ,11,1,10,2, , , ,4,1,1,1,1,1,1, , , , , , , , , , , ,1,1,1,1
10730001,107300,1,1,3,3,1,1982,4,37,2,16,1,1, ,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,19,11,3,2, , , ,1,1,1,1,1,1,1, , , , , ,4, , ,3, , ,7, , , 
10730002,107300,1,1,3,3,2,1983,4,36,2,9,1,1, ,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,19,11,14,2, , , ,2,1,1,1,1,1,1, , , , , ,4, , ,3, , ,6, , , 
10730003,107300,1,1,3,3,1,2012,1,7,1,1,2, ,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , , , , , 
10740001,107400,1,1,3,3,1,1975,5,44,2,10,1,1, ,1,1,2,1, , , , ,0,1, , , , ,2,2, , , , , , ,17,11,19,2, , , ,1,1,1,1,1,1,1, , , , , ,4, , ,3, , ,2,1,3,1
10740002,107400,1,1,3,3,2,1975,5,44,2,1,2, ,2,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,17,19,11,2, , , ,1,1,1,1,1,1,1, , , , , ,4, , ,3, , ,2,1,3,1
10740003,107400,1,1,3,3,1,2010,1,9,1,1,2, ,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , , , , , 
10750001,107500,1,1,3,3,1,1966,6,53,2,11,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,19,16,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,1,1,1,1
10750002,107500,1,1,3,3,2,1968,6,51,2,9,1,1, ,1,1,2,6, , , , , , , , , , ,2,2, , , , , , ,1,5, ,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,1,1,1,1
10750003,107500,1,1,3,3,2,1995,3,24,1,1,2, ,4,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,1,6,17,1,15,16, ,1,1,1,1,1,1,1,1,6,6,6,3, , , , , , ,3,1,1,3
10750004,107500,1,1,3,3,1,1998,3,21,1,1,2, ,1,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,17,19,11,2, , , ,2,2,1,2,1,1,1, , , , , ,4, , ,3, , ,1,1,1,1
10760001,107600,1,1,3,3,1,1972,5,47,2,10,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,10,19,9,1,12, , ,1,1,1,3,1,1,1,7,7,7,7,2,3,2, ,3,3, ,1,1,1,1
10760002,107600,1,1,3,3,2,1975,5,44,2,1,2, ,2,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,4,19,10,1,12, , ,3,3,1,1,1,1,1,6,9,9,9,3,3, , ,3, , ,4,1,1,1
10760003,107600,1,1,3,3,1,2000,2,19,1,1,2, ,1,1,1,1,3, , , , , , , , , , ,2,2, , , , , , ,11,10,19,1,2,15, ,1,1,1,1,1,5,6,1,5,3,3,2, , , , , , ,1,1,1,1
10760004,107600,1,1,3,3,1,2003,2,16,1,1,2, ,1,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,1,11,17,1,2,23, ,1,1,1,1,1,4,1,7,9,6,6,2, , , , , , ,2, , , 
10770001,107700,1,1,2,3,2,1958,7,61,4,4,1,1, ,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,19,6, ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7,2, , 
10770002,107700,1,1,2,3,2,1981,4,38,1,1,1,4, ,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,4,5,1,1,1,23, ,1,1,4,3,1,1,3,1,8,4,4,2,3,4, ,3,4, ,1,1,1,5
10780001,107800,1,1,2,2,1,1952,7,67,2,7,1,1, ,1,1,2,1, , , , , , , , , , ,2,2, , , , , , , , , ,1,12, , ,1,1,1,1,1,3,1,6,9,9,9,3,1, , ,1, , ,7, , , 
10780002,107800,1,1,2,2,2,1950,7,69,2,1,2, ,2,1,1,2,1, , ,10,3, , , , , , ,2,2, , , , , , ,1,11,17,1,12, , ,1,1,1,1,1,1,1,6,8,9,9,3,1, , ,1, , ,6, , , 
10790001,107900,1,1,3,3,1,1974,5,45,2,6,1,3, ,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,4,11,19,1,15,12, ,1,1,1,1,1,1,1,7,7,7,7,2, , , , , , ,5,1,1,1
10790002,107900,1,1,3,3,2,1976,5,43,2,1,2, ,2,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,19,11,5,1,12,16, ,1,1,1,1,1,1,1,1,2,2,9,2, , , , , , ,5,1,1,2
10790004,107900,1,1,3,3,1,2005,2,14,1,1,2, ,1,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,3,17,10,1,2,1, ,1,1,1,1,1,1,1,1,1,1,9,2, , , , , , ,1, , , 
10800001,108000,1,1,1,1,2,1941,8,78,3,1,2, ,4,1,0, , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,6, , , 
10810002,108100,1,1,1,1,2,1966,6,53,4,1,2, ,2,1,1,3,2, , , , , , , , , , ,2,2, , , , , , ,16,11,10,1,12, , ,1,1,1,1,1,1,1,5,7,9,9,3, , , , , , ,6,2, , 
10820001,108200,1,1,1,1,2,1937,8,82,3,1,2, ,2,1,0, , , , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,6, , , 
10830001,108300,1,1,3,3,1,1988,4,31,2,6,1,1, ,1,1,4,1, , , , , , , , , , ,2,1, , ,1,1,2,1,17,11,3,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,7, , , 
10830002,108300,1,1,3,3,2,1988,4,31,2,1,2, ,2,1,1,3,3, , , , , , , , , , ,2,2, , , , , , ,5,3,11,2, , , ,1,3,1,2,1,1,1, , , , , ,3, , ,3, , ,1,1,1,6
10830003,108300,1,1,3,3,2,2006,2,13,1,1,2, ,1,1,1,4,1,20,5, , , , , , , , ,2,2, , , , , , ,1,3,11,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
10830004,108300,1,1,3,3,1,2010,1,9,1,1,2, ,1,1,1,4,6, , , , , , , , , , ,2,1, , ,1,1,15,4,3,17,6,2, , , ,1,1,1,2,2,1,1, , , , , , , , , , , , , , , 
10850001,108500,8,1,3,3,1,1964,6,55,2,2,1,3, ,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,19,9, ,2, , , ,1,1,1,1,1,1,1, , , , , ,1,4, ,1,3, ,1, , , 
10850002,108500,8,1,3,3,2,1966,6,53,2,6,1,1, ,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,9,11, ,2, , , ,1,1,1,1,1,1,1, , , , , ,4, , ,3, , ,1, , , 
10850003,108500,8,1,3,3,2,1997,3,22,1,2,2, ,1,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,5,11, ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
10850004,108500,8,1,3,3,2,2000,2,19,1,1,2, ,1,1,1,2,1,15,4, , , , , , , , ,1,2,1,1, , ,2,1,1,3,16,1,2,15, ,1,1,1,3,1,4,4,4,5,5,4,2, , , , , , ,1,1,1,1
10850005,108500,8,1,3,3,1,2003,2,16,1,1,2, ,1,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,3, , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
10860001,108600,8,1,3,3,1,1962,6,57,2,9,1,3, ,1,1,3,1, , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , ,1, , ,1, , ,1, , , 
10860002,108600,8,1,3,3,2,1967,6,52,2,1,2, ,2,1,1,1,1, , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
10860003,108600,8,1,3,3,2,1989,4,30,1,6,1,3, ,1,1,2,1, , , , , , , , , , ,2,2, , , , , , , , , ,1,16, , ,1,1,1,1,1,1,1,2,2,2,2,2,1, , ,1, , ,1,1,1,1
10870002,108700,8,1,3,3,2,1973,5,46,2,3,1,1, ,1,1,2,1, , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
10870003,108700,8,1,3,3,1,1999,3,20,1,2,2, ,1,1,1,1,1, , , , , , , , , , ,1,1,4,1,1,1,10,3,2,4,10,1,12,1,2,1,1,1,1,1,1,1,1,4,1,4,2,3, , ,3, , ,1,1,1,1
10900001,109000,8,1,3,3,1,1974,5,45,4,7,1,1, ,1,1,3,2, , , , , , , , , , ,2,2, , , , , , ,8,16,18,1,12,23, ,1,1,1,1,1,1,1,5,7,5,5,2, , , , , , ,6, , , 
10900003,109000,8,1,3,3,2,2004,2,15,1,1,2, ,1,1,1,3,2, , , , , , , , , , ,2,2, , , , , , ,16,17,1,1,15,23, ,1,1,1,1,1,1,6,1,6,6,1,1, , , , , , ,2,1,1,3
10900004,109000,8,1,3,3,1,2005,2,14,1,1,2, ,1,1,1,3,2, , , , , , , , , , ,2,2, , , , , , ,17,16,3,1,2,23, ,1,1,1,1,1,4,4,1,9,9,3,2, , , , , , ,8, , , 
10900005,109000,8,1,3,3,1,2010,1,9,1,1,2, ,1,1,1,3,2, , , , , , , , , , ,2,2, , , , , , ,3,17,19,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , , , , , 
10920001,109200,8,1,3,3,1,1971,5,48,2,13,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,16,11,19,2, , , ,1,1,1,1,1,1,1, , , , , ,4, , ,3, , ,2,1,1,1
10920002,109200,8,1,3,3,2,1971,5,48,2,7,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,17,11,19,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1,1,1,1
10920003,109200,8,1,3,3,1,2004,2,15,1,1,2, ,1,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,1,19,18,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
10930002,109300,8,1,3,3,2,1969,6,50,3,8,2, ,2,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,18,8,17,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7,1,1,1
10930003,109300,8,1,3,3,2,1989,4,30,1,7,1,2, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,10,19,1,15,16, ,4,2,1,1,1,4,6,1,6,6,1,1,3,4,2,3,4,3,1,1,1,2
10930004,109300,8,1,3,3,2,1989,4,30,1,7,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,19,10,1,15, , ,1,2,1,2,1,4,1,2,8,9,2,1, , , , , , ,1,1,1,2
10930005,109300,8,1,3,3,1,1995,3,24,1,3,2, ,1,1,1,1,3, , ,0,1,0,1,0,1,0,1,2,2, , , , , , ,1,11,12,1,2,15,16,2,2,1,1,1,1,1,4,9,5,5,2, , , , , , ,1,1,1,3
10940001,109400,1,1,3,3,1,1965,6,54,2,5,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,9,8,12,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,8, , , 
10940002,109400,1,1,3,3,2,1964,6,55,2,1,2, ,2,1,1,3,1, , , , , , , , , , ,2,2, , , , , , ,8,11,19,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
10950001,109500,8,1,3,3,1,1980,4,39,2,10,1,1, ,1,1,3,1, , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
10950002,109500,8,1,3,3,2,1982,4,37,2,1,2, ,2,1,1,3,1, , , , , , , , , , ,2,2, , , , , , ,11,10,19,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,1, , , 
10950003,109500,8,1,3,3,2,2008,2,11,1,1,2, ,1,2, , , ,0,1,0,1, , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , , , , , 
10950004,109500,8,1,3,3,2,2010,1,9,1,1,2, ,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , , , , , 
10970001,109700,8,1,3,3,1,1969,6,50,2,12,1,1, ,1,1,3,2, , , , , , , , , , ,2,2, , , , , , ,11,10,19,1,16,23, ,6,1,1,3,1,3,6,1,6,6,1,2,3,3,1,3,4,1,4,1,1,2
10970002,109700,8,1,3,3,2,1970,5,49,2,1,2, ,2,1,1,3,2, , , , , , , , , , ,2,2, , , , , , ,19,11,5,2, , , ,1,4,4,4,2,1,1, , , , , ,3,4,2,3,3,2,1,1,1,4
10970003,109700,8,1,3,3,2,1999,3,20,1,2,2, ,4,1,1,3,1, , , , , , , , , , ,2,2, , , , , , ,10,17,8,1,1,23, ,4,4,1,1,4,6,1,1,2,9,1,1, , , , , , ,5,1,1,1
10980001,109800,8,1,3,4,1,1978,5,41,2,9,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
10980002,109800,8,1,3,4,2,1978,5,41,2,4,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
10980004,109800,8,1,3,4,2,2007,2,12,1,1,2, ,1,1,1,1,2, , , , , , , , , , ,2,2, , , , , , ,11,17,3,1,2,15, ,1,1,1,1,1,1,1,1,1,1,1,2, , , , , , , , , , 
10980005,109800,8,1,3,4,2,2009,2,10,1,1,2, ,1,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,3,17,1,2, , ,1,1,1,1,1,1,1,1,1,1,1,2, , , , , , , , , , 
11000001,110000,5,1,3,3,1,1960,6,59,2,9,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,19,6,2, , , ,1,1,1,1,1,1,1, , , , , ,3,2, ,3,3, ,1,1,1,3
11000002,110000,5,1,3,3,2,1960,6,59,2,1,2, ,2,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,11,8,9,1,12, , ,1,1,1,1,1,3,3,6,6,6,6,2,3,2, ,3,3, ,1,1,1,1
11000101,110001,5,1,2,2,1,1984,4,35,2,6,1,1, ,1,1,1,1,0,1,0,1,0,1,0,1,0,1,2,2, , , , , , ,6,14,19,1,15,12,2,3,1,2,1,1,4,4,5,5,5,5,2,3, , ,3, , ,1,1,1,2
11000102,110001,5,1,2,2,2,1985,4,34,2,5,1,1, ,1,1,1,2,0,1,0,1,0,1,0,1,0,1,2,2, , , , , , ,19,5,6,1,12,15,16,2,2,1,1,1,3,3,6,6,9,6,2,3,2, ,3,3, ,1,1,1,2
