pid,hid2016,area_siz2016,gender2016,age_gr2016,age2016,mob_use2016,mob_num2016,mob_csp2016,mob_dev2016,c01_gr2016,c02_gr2016,c03_gr2016,c04_gr2016,c05_gr2016,sns_use2016,freq_sns12016,news_med12016,news_med22016,news_med32016,news_plat12016,news_plat22016,news_plat32016,year2016,hid2017,area_siz2017,gender2017,age_gr2017,age2017,mob_use2017,mob_num2017,mob_csp2017,mob_dev2017,c01_gr2017,c02_gr2017,c03_gr2017,c04_gr2017,c05_gr2017,sns_use2017,freq_sns12017,news_med12017,news_med22017,news_med32017,news_plat12017,news_plat22017,news_plat32017,year2017,hid2018,area_siz2018,gender2018,age_gr2018,age2018,mob_use2018,mob_num2018,mob_csp2018,mob_dev2018,c01_gr2018,c02_gr2018,c03_gr2018,c04_gr2018,c05_gr2018,sns_use2018,freq_sns12018,news_med12018,news_med22018,news_med32018,news_plat12018,news_plat22018,news_plat32018,year2018,hid2019,area_siz2019,gender2019,age_gr2019,age2019,mob_use2019,mob_num2019,mob_csp2019,mob_dev2019,c01_gr2019,c02_gr2019,c03_gr2019,c04_gr2019,c05_gr2019,sns_use2019,freq_sns12019,news_med12019,news_med22019,news_med32019,news_plat12019,news_plat22019,news_plat32019,year2019
2050001,20500,1,1,5,46,1,1,1,1, , , , , ,1,15,1, , ,1, , ,2016,20500,1,1,5,47,1,1,2,3, , , , , ,2, ,3, , ,3, , ,2017,20500,1,1,5,48,1,1,1,1,1, , ,1,1,1,2,4, , ,3, , ,2018,20500,1,1,5,49,1,1,2,2, , ,2, , ,1,15,3, , ,3, , ,2019
2060001,20600,1,2,8,83,1,0, , , , , , , ,2, , , , , , , ,2016,20600,1,2,8,84,1,0, , , , , , , ,2, , , , , , , ,2017,20600,1,2,8,85,1,0, , , , , , , ,2, , , , , , , ,2018,20600,1,2,8,86,1,0, , , , , , , ,2, , , , , , , ,2019
2070001,20700,1,1,6,52,1,1,3,1, , , , , ,2, ,2,3, ,3,3, ,2016,20700,1,1,6,53,1,1,3,2, , , , , ,1,2,3, , ,3, , ,2017,20700,1,1,6,54,1,1,2,1, , , , , ,2, ,1, , ,1, , ,2018,20700,1,1,6,55,1,1,1,1, , , , , ,2, , , , , , , ,2019
2070002,20700,1,2,6,50,1,1,3,2, , , , , ,1,12, , , , , , ,2016,20700,1,2,6,51,1,1,3,1, , , , , ,1,12,3, , ,3, , ,2017,20700,1,2,6,52,1,1,1,1, , , , , ,1,12, , , , , , ,2018,20700,1,2,6,53,1,1,1,2, , , , , ,2, , , , , , , ,2019
2070003,20700,1,1,2,16,1,1,3,2, , , , , ,1,2, , , , , , ,2016,20700,1,1,2,17,1,1,3,2, , , , , ,1,2, , , , , , ,2017,20700,1,1,2,18,1,1,1,3, , , , , ,1,2, , , , , , ,2018,20700,1,1,2,19,1,1,1,1, , , , , ,1,2, , , , , , ,2019
2080001,20800,1,1,6,56,1,1,3,2, , , , , ,2, ,1,3, ,1,3, ,2016,20800,1,1,6,57,1,1,3,2, , , , , ,2, ,3, , ,3, , ,2017,20800,1,1,6,58,1,1,2,1, , , , , ,2, , , , , , , ,2018,20800,1,1,6,59,1,1,2,1, , , , , ,2, , , , , , , ,2019
2080002,20800,1,2,6,53,1,1,3,1, , , , , ,2, ,3, , ,3, , ,2016,20800,1,2,6,54,1,1,3,1, , , , , ,1,12,3, , ,3, , ,2017,20800,1,2,6,55,1,1,3,1, , , , , ,2, , , , , , , ,2018,20800,1,2,6,56,1,1,2,2, , , , , ,2, , , , , , , ,2019
2080003,20800,1,2,3,26,1,1,3,3, , , , , ,1,2,3, , ,3, , ,2016,20800,1,2,3,27,1,1,3,1, , , ,2, ,1,2,3, , ,3, , ,2017,20800,1,2,3,28,1,1,1,3, , , ,3, ,1,15, , , , , , ,2018,20800,1,2,3,29,1,1,2,1, , , ,3, ,1,15, , , , , , ,2019
2080004,20800,1,2,3,22,1,1,3,2, , , , , ,1,2,3, , ,3, , ,2016,20800,1,2,3,23,1,1,3,1, ,3, ,1, ,1,2,3, , ,3, , ,2017,20800,1,2,3,24,1,1,2,2, , , , , ,1,15, , , , , , ,2018,20800,1,2,3,25,1,1,2,3, , , , , ,1,15, , , , , , ,2019
2100001,21000,1,1,8,78,1,1,2,1, , , , , ,2, , , , , , , ,2016,21000,1,1,8,79,1,1,1,1, , , , , ,2, , , , , , , ,2017,21000,1,1,8,80,1,1,1,1, , , , , ,2, ,1, , ,1, , ,2018,21000,1,1,8,81,1,1,2,2, , , , , ,2, ,1, , ,1, , ,2019
2100002,21000,1,2,7,61,1,0, , , , , , , ,2, , , , , , , ,2016,21000,1,2,7,62,1,0, , , , , , , ,2, , , , , , , ,2017,21000,1,2,7,63,1,1,3,1, , , , , ,2, ,1, , ,1, , ,2018,21000,1,2,7,64,1,1,3,1, , , , , ,2, , , , , , , ,2019
2110001,21100,1,1,7,68,1,1,3,2, , , , , ,2, , , , , , , ,2016,21100,1,1,7,69,1,1,1,1, , , , , ,2, , , , , , , ,2017,21100,1,1,8,70,1,1,1,1, , , , , ,2, ,1, , ,1, , ,2018,21100,1,1,8,71,1,1,1,1, , , , , ,2, ,1, , ,1, , ,2019
2110002,21100,1,2,7,63,1,1,3,1, , , , , ,2, , , , , , , ,2016,21100,1,2,7,64,1,1,3,1, , , , , ,2, , , , , , , ,2017,21100,1,2,7,65,1,1,3,1, , , , , ,2, , , , , , , ,2018,21100,1,2,7,66,1,1,2,1, , , , , ,2, ,1, , ,1, , ,2019
2110003,21100,1,1,4,37,1,1,3,1, , , , , ,1,2, , , , , , ,2016,21100,1,1,4,38,1,1,3,1, , , ,3, ,1,2,3, , ,3, , ,2017,21100,1,1,4,39,1,1,1,1, ,3, ,4, ,1,1,3, , ,3, , ,2018,21100,1,1,5,40,1,1,3,2, , , , , ,1,2, , , , , , ,2019
2120001,21200,1,1,8,78,1,1,3,1, , , , , ,2, , , , , , , ,2016,21200,1,1,8,79,1,0, , , , , , , ,2, , , , , , , ,2017,21200,1,1,8,80,1,0, , , , , , , ,2, , , , , , , ,2018,21200,1,1,8,81,1,0, , , , , , , ,2, , , , , , , ,2019
2120002,21200,1,2,8,74,1,1,4,2, , , , , ,2, , , , , , , ,2016,21200,1,2,8,75,1,0, , , , , , , ,2, , , , , , , ,2017,21200,1,2,8,76,1,0, , , , , , , ,2, , , , , , , ,2018,21200,1,2,8,77,1,0, , , , , , , ,2, , , , , , , ,2019
2130001,21300,1,1,8,73,1,0, , , , , , , ,2, , , , , , , ,2016,21300,1,1,8,74,1,0, , , , , , , ,2, ,1, , ,1, , ,2017,21300,1,1,8,75,1,0, , , , , , , ,2, , , , , , , ,2018,21300,1,1,8,76,1,0, , , , , , , ,2, , , , , , , ,2019
2130002,21300,1,2,8,71,1,0, , , , , , , ,2, , , , , , , ,2016,21300,1,2,8,72,1,0, , , , , , , ,2, , , , , , , ,2017,21300,1,2,8,73,1,0, , , , , , , ,2, , , , , , , ,2018,21300,1,2,8,74,1,0, , , , , , , ,2, , , , , , , ,2019
2140002,21400,1,2,7,67,1,0, , , , , , , ,2, , , , , , , ,2016,21400,1,2,7,68,1,0, , , , , , , ,2, ,1, , ,1, , ,2017,21400,1,2,7,69,1,0, , , , , , , ,2, , , , , , , ,2018,21400,1,2,8,70,1,0, , , , , , , ,2, , , , , , , ,2019
2150001,21500,1,1,7,68,1,0, , , , , , , ,2, ,1, , ,1, , ,2016,21500,1,1,7,69,1,0, , , , , , , ,2, ,1, , ,1, , ,2017,21500,1,1,8,70,1,0, , , , , , , ,2, ,1, , ,1, , ,2018,21500,1,1,8,71,1,0, , , , , , , ,2, , , , , , , ,2019
2150002,21500,1,2,7,60,1,1,2,1, , , , , ,1,12,3, , ,3, , ,2016,21500,1,2,7,61,1,1,1,1, , , , , ,1,12,1, , ,1, , ,2017,21500,1,2,7,62,1,1,3,1, , , , , ,1,12, , , , , , ,2018,21500,1,2,7,63,1,1,3,1, , , , , ,2, , , , , , , ,2019
2170001,21700,1,1,5,48,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016,21700,1,1,5,49,1,1,1,2, , , , , ,1,12,3, , ,3, , ,2017,21700,1,1,6,50,1,1,1,1, , , , , ,2, , , , , , , ,2018,21700,1,1,6,51,1,1,3,1, , , , , ,2, , , , , , , ,2019
2170002,21700,1,2,5,44,1,1,1,1, , , , , ,1,12,3, , ,3, , ,2016,21700,1,2,5,45,1,1,1,1, , , , , ,1,12,3, , ,3, , ,2017,21700,1,2,5,46,1,1,3,1, , , , , ,1,12, , , , , , ,2018,21700,1,2,5,47,1,1,3,1, , , , , ,2, , , , , , , ,2019
2170003,21700,1,2,3,20,1,1,1,1, , , , , ,1,12, , , , , , ,2016,21700,1,2,3,21,1,1,1,3, , , , , ,1,1, , , , , , ,2017,21700,1,2,3,22,1,1,1,2, , , , , ,1,2, , , , , , ,2018,21700,1,2,3,23,1,1,3,3, , , , , ,1,15, , , , , , ,2019
2180002,21800,1,2,5,49,1,1,3,2, , , , , ,1,12,3, , ,3, , ,2016,21800,1,2,6,50,1,1,2,1, , , , , ,1,12,3, , ,3, , ,2017,21800,1,2,6,51,1,1,3,1, , , , , ,2, , , , , , , ,2018,21800,1,2,6,52,1,1,1,1, , , , , ,2, , , , , , , ,2019
2180003,21800,1,2,3,24,1,1,3,1, , , , , ,1,12,3, , ,3, , ,2016,21800,1,2,3,25,1,1,1,3, , , , , ,1,15,3, , ,3, , ,2017,21800,1,2,3,26,1,1,1,1, , , , , ,1,15, , , , , , ,2018,21800,1,2,3,27,1,1,1,1, , , , , ,1,15, , , , , , ,2019
2190001,21900,1,1,5,41,1,1,1,1, , , , , ,1,2,3, , ,3, , ,2016,21900,1,1,5,42,1,1,1,1, , , , , ,1,12,3, , ,3, , ,2017,21900,1,1,5,43,1,1,1,1, , , , , ,1,12,3, , ,3, , ,2018,21900,1,1,5,44,1,1,2,1, , , , , ,2, ,3, , ,3, , ,2019
2190002,21900,1,2,4,37,1,1,1,1, , , , , ,1,2,3, , ,3, , ,2016,21900,1,2,4,38,1,1,1,1, , , , , ,1,12,3, , ,3, , ,2017,21900,1,2,4,39,1,1,1,1, , , , , ,1,12,3, , ,3, , ,2018,21900,1,2,5,40,1,1,2,1, , , , , ,2, , , , , , , ,2019
2190003,21900,1,2,1,7,1,0, , , , , , , ,2, , , , , , , ,2016,21900,1,2,1,8,2,0, , , , , , , ,2, , , , , , , ,2017,21900,1,2,1,9,2,0, , , , , , , ,2, , , , , , , ,2018,21900,1,2,2,10,2, , , , , , , , ,2, , , , , , , ,2019
2200002,22000,1,2,7,60,1,1,3,2, , , , , ,1,12, , , , , , ,2016,22000,1,2,7,61,1,1,3,1, , , , , ,1,12,3, , ,3, , ,2017,22000,1,2,7,62,1,1,3,1, , , , , ,1,12, , , , , , ,2018,22000,1,2,7,63,1,1,1,1, , , , , ,2, , , , , , , ,2019
2210001,22100,1,1,8,77,1,0, , , , , , , ,2, , , , , , , ,2016,22100,1,1,8,78,1,0, , , , , , , ,2, , , , , , , ,2017,22100,1,1,8,79,1,0, , , , , , , ,2, ,1, , ,1, , ,2018,22100,1,1,8,80,1,0, , , , , , , ,2, , , , , , , ,2019
2210002,22100,1,2,8,72,1,0, , , , , , , ,2, , , , , , , ,2016,22100,1,2,8,73,1,0, , , , , , , ,2, , , , , , , ,2017,22100,1,2,8,74,1,0, , , , , , , ,2, , , , , , , ,2018,22100,1,2,8,75,1,0, , , , , , , ,2, , , , , , , ,2019
2220001,22200,1,1,7,60,1,0, , , , , , , ,2, ,1, , ,1, , ,2016,22200,1,1,7,61,1,0, , , , , , , ,2, ,1, , ,1, , ,2017,22200,1,1,7,62,1,0, , , , , , , ,2, ,1, , ,1, , ,2018,22200,1,1,7,63,1,0, , , , , , , ,2, ,1, , ,1, , ,2019
2220002,22200,1,2,6,56,1,1,3,1, , , , , ,1,12, , , , , , ,2016,22200,1,2,6,57,1,1,3,1, , , , , ,1,12,1, , ,1, , ,2017,22200,1,2,6,58,1,1,3,1, , , , , ,1,12,1, , ,1, , ,2018,22200,1,2,6,59,1,1,1,1, , , , , ,2, , , , , , , ,2019
2220003,22200,1,2,3,23,1,1,1,1, , , , , ,1,12,4,2, ,3,3, ,2016,22200,1,2,3,24,1,1,1,3, , , , , ,1,15,3, , ,3, , ,2017,22200,1,2,3,25,1,1,1,3, , , , , ,1,2,2, , ,3, , ,2018,22200,1,2,3,26,1,1,1,1, , , , , ,1,15, , , , , , ,2019
2230001,22300,1,2,8,80,1,0, , , , , , , ,2, , , , , , , ,2016,22300,1,2,8,81,1,0, , , , , , , ,2, , , , , , , ,2017,22300,1,2,8,82,1,0, , , , , , , ,2, , , , , , , ,2018,22300,1,2,8,83,1,0, , , , , , , ,2, , , , , , , ,2019
2230002,22300,1,1,5,44,1,1,1,1, , , , , ,1,12,3, , ,3, , ,2016,22300,1,1,5,45,1,1,3,1, , , , , ,1,15,3, , ,3, , ,2017,22300,1,1,5,46,1,1,1,1, ,3, , , ,1,2,3, , ,3, , ,2018,22300,1,1,5,47,1,1,3,2, , , , , ,1,2,3,2, ,3,3, ,2019
2250002,22500,1,2,5,43,1,1,1,1, , , , , ,1,12,4, , ,3, , ,2016,22500,1,2,5,44,1,1,1,1,1, , ,1,1,1,12,4, , ,3, , ,2017,22500,1,2,5,45,1,1,1,1,1, , ,1,1,1,12,4,1, ,3,1, ,2018,22500,1,2,5,46,1,1,1,1,1,1,1,1,1,2, ,4, , ,3, , ,2019
2260002,22600,1,2,5,41,1,1,1,1, , , , , ,1,2,4, , ,3, , ,2016,22600,1,2,5,42,1,1,1,1,1,1,1,1,1,2, ,4, , ,3, , ,2017,22600,1,2,5,43,1,1,1,1, , , ,1, ,1,12,4,1, ,3,1, ,2018,22600,1,2,5,44,1,1,1,1,1, ,1,1,1,1,12,4,3, ,3,4, ,2019
2260003,22600,1,1,2,10,2,0, , , , , , , ,2, , , , , , , ,2016,22600,1,1,2,11,1,0, , , , , ,1,1,1,2, , , , , , ,2017,22600,1,1,2,12,1,0, , , , , ,1,1,2, , , , , , , ,2018,22600,1,1,2,13,1,0, , , , , ,1,1,2, , , , , , , ,2019
2270001,22700,1,1,7,63,1,1,3,1, , , , , ,2, ,1,4, ,1,3, ,2016,22700,1,1,7,64,1,1,2,1, , , , , ,2, ,4, , ,3, , ,2017,22700,1,1,7,65,1,1,3,1, , , , , ,2, ,4, , ,3, , ,2018,22700,1,1,7,66,1,1,3,1, , ,1,1,1,2, ,4,1, ,3,1, ,2019
2270002,22700,1,2,6,57,1,1,3,1, , , , , ,2, ,4, , ,3, , ,2016,22700,1,2,6,58,1,1,2,1,1,1,1,1, ,1,12,4, , ,3, , ,2017,22700,1,2,6,59,1,1,3,1, , , , , ,2, ,4, , ,3, , ,2018,22700,1,2,7,60,1,1,3,1,1,1,1,1,1,2, ,4, , ,3, , ,2019
2270003,22700,1,2,4,33,1,1,3,1, , ,1,1,1,1,2,4, , ,3, , ,2016,22700,1,2,4,34,1,1,2,3, , , , , ,1,1,3, , ,3, , ,2017,22700,1,2,4,35,1,1,3,1,1,1, ,1,1,1,2,2,4, ,2,3, ,2018,22700,1,2,4,36,1,1,3,1,1,1,2,2,1,1,2,4,3, ,3,2, ,2019
2280001,22800,1,1,8,77,1,0, , , , , , , ,2, , , , , , , ,2016,22800,1,1,8,78,1,0, , , , , , , ,2, , , , , , , ,2017,22800,1,1,8,79,1,0, , , , , , , ,2, , , , , , , ,2018,22800,1,1,8,80,1,0, , , , , , , ,2, , , , , , , ,2019
2280002,22800,1,2,8,74,2,0, , , , , , , ,2, , , , , , , ,2016,22800,1,2,8,75,2,0, , , , , , , ,2, , , , , , , ,2017,22800,1,2,8,76,1,0, , , , , , , ,2, , , , , , , ,2018,22800,1,2,8,77,1,0, , , , , , , ,2, , , , , , , ,2019
2290001,22900,1,1,4,39,1,1,1,1, , , , , ,1,2,1,2,4,1,2,3,2016,22900,1,1,5,40,1,1,1,1, , , , , ,1,12,1,4, ,1,3, ,2017,22900,1,1,5,41,1,1,1,1, ,1,1,2,1,1,1,1,2,4,1,2,3,2018,22900,1,1,5,42,1,1,1,1,1,1,1,1,1,1,2,2,4, ,2,3, ,2019
2290002,22900,1,2,4,38,1,1,1,1, , , , , ,1,2,4,2, ,3,2, ,2016,22900,1,2,4,39,1,1,1,1, , , , , ,1,12,4, , ,3, , ,2017,22900,1,2,5,40,1,1,1,1,1,1, ,1, ,1,1,2,4, ,2,3, ,2018,22900,1,2,5,41,1,1,1,1,1,1,1,1, ,1,12,2,4, ,3,3, ,2019
2300002,23000,1,2,5,47,1,1,1,1, , , , , ,1,2,4, , ,3, , ,2016,23000,1,2,5,48,1,1,1,1,1, , ,1,1,1,12,3, , ,3, , ,2017,23000,1,2,5,49,1,1,1,1,1, , ,1, ,1,2,4, , ,3, , ,2018,23000,1,2,6,50,1,1,1,1,1,1,1,1, ,2, ,4, , ,3, , ,2019
2310001,23100,1,1,6,50,1,1,3,1, , , , , ,1,16,1,4, ,1,3, ,2016,23100,1,1,6,51,1,1,2,1,1, ,1,1, ,2, ,1,4,2,1,3,2,2017,23100,1,1,6,52,1,1,3,1, , , , , ,2, , , , , , , ,2018,23100,1,1,6,53,1,1,3,1,1,1,1,1, ,2, ,4,1, ,3,1, ,2019
2310002,23100,1,2,6,50,1,1,3,2, , ,1, ,1,1,16,3, , ,3, , ,2016,23100,1,2,6,51,1,1,3,2,1,1,1,1,1,2, ,4, , ,3, , ,2017,23100,1,2,6,52,1,1,3,2, , , , , ,2, ,3, , ,3, , ,2018,23100,1,2,6,53,1,1,3,1,1,1,1,1,1,2, ,4, , ,3, , ,2019
2310003,23100,1,2,3,26,1,1,3,2, , ,1, , ,1,2, , , , , , ,2016,23100,1,2,3,27,1,1,3,2,1,1,1,1,1,1,2,4,2, ,3,2, ,2017,23100,1,2,3,28,1,1,3,1,1,1,1,1,1,2, ,2,4, ,3,3, ,2018,23100,1,2,3,29,1,1,2,1,1,1,1,1,3,1,2,4,3, ,3,2, ,2019
2310004,23100,1,1,3,22,1,1,3,2, , ,1, ,1,1,2,3,2, ,3,4, ,2016,23100,1,1,3,23,1,1,3,3,1,1,1,1,1,1,2,4,4,2,3,4,3,2017,23100,1,1,3,24,1,1,3,3,1,1,1,1,3,1,2,4,2,3,3,3,4,2018,23100,1,1,3,25,1,1,3,3,1,1,2,1,1,1,1,4, , ,3, , ,2019
2320001,23200,1,1,6,52,1,1,1,1, , , , , ,1,16,1,3, ,1,3, ,2016,23200,1,1,6,53,1,1,3,1,1,1,1,1,1,1,2,1,3, ,1,2, ,2017,23200,1,1,6,54,1,1,1,1,1, , , , ,1,2,1,2,4,1,2,3,2018,23200,1,1,6,55,1,1,2,1,1,1,1,1, ,1,12,1,4,3,1,3,2,2019
2320002,23200,1,2,6,52,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016,23200,1,2,6,53,1,1,3,2,1,1, ,1,1,2, ,3, , ,3, , ,2017,23200,1,2,6,54,1,1,1,1,1, , ,1, ,1,2,4, , ,3, , ,2018,23200,1,2,6,55,1,1,2,1,1,1,1,1, ,2, ,4, , ,3, , ,2019
2320003,23200,1,1,3,24,1,1,1,1, , , , ,1,1,2,3, , ,3, , ,2016,23200,1,1,3,25,1,1,3,2,1,1,1,1,1,1,2,3, , ,3, , ,2017,23200,1,1,3,26,1,1,2,1,1,1, ,1,1,2, ,2,4, ,3,3, ,2018,23200,1,1,3,27,1,1,2,1,1,1,1,1,3,1,12,2,4, ,2,3, ,2019
2340001,23400,1,1,4,38,1,1,1,3, , , , , ,1,16,3, , ,3, , ,2016,23400,1,1,4,39,1,1,1,1, , , , , ,2, ,4,2,1,3,3,1,2017,23400,1,1,5,40,1,1,1,3, , , , , ,1,12,1,4, ,1,3, ,2018,23400,1,1,5,41,1,1,1,3, , , , , ,2, ,4,1, ,3,1, ,2019
2340002,23400,1,2,4,38,1,1,1,3, , , , , ,1,12, , , , , , ,2016,23400,1,2,4,39,1,1,3,1, , , , , ,1,12,4,1, ,3,1, ,2017,23400,1,2,5,40,1,1,1,1, , , , , ,1,12,4,1, ,3,1, ,2018,23400,1,2,5,41,1,1,1,1, , , , , ,1,15,4,3,1,4,3,1,2019
2340003,23400,1,2,1,8,2,0, , , , , , , ,2, , , , , , , ,2016,23400,1,2,1,9,1,0, , , , , , , ,2, , , , , , , ,2017,23400,1,2,2,10,1,0, , , , , , , ,2, ,1, , ,1, , ,2018,23400,1,2,2,11,1,1,1,1, , , , , ,2, , , , , , , ,2019
2350001,23500,1,1,4,39,1,1,1,1,1,1, ,1, ,1,12,3, , ,2, , ,2016,23500,1,1,5,40,1,1,1,1, , ,4, , ,2, ,3,2,4,3,2,4,2017,23500,1,1,5,41,1,1,4,1, , ,1, , ,2, ,3, , ,2, , ,2018,23500,1,1,5,42,1,1,4,1, , ,6, , ,2, , , , , , , ,2019
2350002,23500,1,2,5,42,1,1,4,4, , , , , ,2, , , , , , , ,2016,23500,1,2,5,43,1,1,1,1, , ,4, , ,2, , , , , , , ,2017,23500,1,2,5,44,1,1,1,1, , , , , ,2, , , , , , , ,2018,23500,1,2,5,45,1,1,4,1, , , , , ,2, , , , , , , ,2019
2350003,23500,1,2,1,8,1,1,2,5, , , , , ,2, , , , , , , ,2016,23500,1,2,1,9,1,0, , , , , , , ,2, , , , , , , ,2017,23500,1,2,2,10,1,1,4,2, , , , , ,2, , , , , , , ,2018,23500,1,2,2,11,1,0, , , , , , , ,2, , , , , , , ,2019
2360001,23600,1,1,5,41,1,1,3,4, , , , , ,2, ,2,4, ,3,3, ,2016,23600,1,1,5,42,1,1,1,2, , , , , ,1,16,4,2, ,3,3, ,2017,23600,1,1,5,43,1,1,1,2, , , , , ,1,12, , , , , , ,2018,23600,1,1,5,44,1,1,3,1, , , , , ,1,16,3,4,1,3,3,1,2019
2360002,23600,1,2,5,40,1,1,3,4, , , , , ,1,12, , , , , , ,2016,23600,1,2,5,41,1,1,1,2, , , , , ,1,12, , , , , , ,2017,23600,1,2,5,42,1,1,1,2, , , , , ,1,12, , , , , , ,2018,23600,1,2,5,43,1,1,3,1, , , , , ,2, ,3,4,1,3,3,1,2019
2360003,23600,1,2,2,13,1,1,3,4,1,1,1, ,1,1,2, , , , , , ,2016,23600,1,2,2,14,1,1,1,2, , , , , ,1,2, , , , , , ,2017,23600,1,2,2,15,1,1,2,2, , , , , ,1,2, , , , , , ,2018,23600,1,2,2,16,1,1,1,3, , , , , ,1,15, , , , , , ,2019
2360004,23600,1,2,2,11,1,1,4,1, ,1,1, ,1,2, , , , , , , ,2016,23600,1,2,2,12,1,1,1,2, , , , , ,1,2, , , , , , ,2017,23600,1,2,2,13,1,1,2,2, , , , , ,1,2, , , , , , ,2018,23600,1,2,2,14,1,1,3,1, , , , , ,1,23, , , , , , ,2019
2370001,23700,1,1,5,40,1,1,1,4, , , , , ,1,1,2,3,4,2,3,4,2016,23700,1,1,5,41,1,1,1,1, , , , , ,1,1,2,4,3,2,3,4,2017,23700,1,1,5,42,1,1,1,1, , , , , ,1,1, , , , , , ,2018,23700,1,1,5,43,1,1,1,1, , , , , ,1,1,4,3,2,3,2,4,2019
2370002,23700,1,2,4,39,1,1,1,4, , , , , ,2, , , , , , , ,2016,23700,1,2,5,40,1,1,1,1, , , , , ,1,12, , , , , , ,2017,23700,1,2,5,41,1,1,1,1, , , , , ,1,12, , , , , , ,2018,23700,1,2,5,42,1,1,1,1, , , , , ,2, , , , , , , ,2019
2370003,23700,1,1,2,11,1,0, , , , , , , ,2, , , , , , , ,2016,23700,1,1,2,12,1,0, , , , , , , ,2, , , , , , , ,2017,23700,1,1,2,13,1,1,1,1,1,1,1,1,1,2, , , , , , , ,2018,23700,1,1,2,14,1,1,1,1, , , , , ,1,23, , , , , , ,2019
2370004,23700,1,2,1,9,1,0, , , , , , , ,2, , , , , , , ,2016,23700,1,2,2,10,1,0, , , , , , , ,2, , , , , , , ,2017,23700,1,2,2,11,1,1,1,1, , , , , ,2, , , , , , , ,2018,23700,1,2,2,12,1,1,1,1, , , , , ,2, , , , , , , ,2019
2370005,23700,1,1,1,7,1,0, , , , , , , ,2, , , , , , , ,2016,23700,1,1,1,8,1,0, , , , , , , ,2, , , , , , , ,2017,23700,1,1,1,9,1,0, , , , , , , ,2, , , , , , , ,2018,23700,1,1,2,10,1,0, , , , , , , ,2, , , , , , , ,2019
2400001,24000,1,1,7,63,1,1,1,1, , , , , ,1,16, , , , , , ,2016,24000,1,1,7,64,1,1,1,1,4, ,2, , ,2, ,1, , ,1, , ,2017,24000,1,1,7,65,1,1,1,1,4, ,6, , ,2, ,1, , ,1, , ,2018,24000,1,1,7,66,1,1,1,1, , ,4, , ,1,12,1, , ,1, , ,2019
2400002,24000,1,2,7,62,1,1,3,1, , , , , ,2, , , , , , , ,2016,24000,1,2,7,63,1,1,3,1,4, ,2, , ,2, ,1, , ,1, , ,2017,24000,1,2,7,64,1,1,1,1,4, ,6, , ,2, ,1, , ,1, , ,2018,24000,1,2,7,65,1,1,1,1, , ,4, , ,1,12,1, , ,1, , ,2019
2410001,24100,1,1,6,58,1,1,1,1, , , , , ,2, , , , , , , ,2016,24100,1,1,6,59,1,1,3,3, , ,2, , ,2, ,1, , ,1, , ,2017,24100,1,1,7,60,1,1,1,1, , , , , ,2, ,1,2, ,1,3, ,2018,24100,1,1,7,61,1,1,1,1, , ,8,1, ,2, ,1,2, ,1,3, ,2019
2410002,24100,1,2,6,51,1,1,1,1, , , , , ,2, , , , , , , ,2016,24100,1,2,6,52,1,1,3,1, , , , , ,2, ,1, , ,1, , ,2017,24100,1,2,6,53,2,0, , , , , , , ,2, , , , , , , ,2018,24100,1,2,6,54,1,1,3,1, , , , , ,2, , , , , , , ,2019
2410003,24100,1,1,3,27,1,1,1,2, , , , , ,2, ,2,3,4,3,3,3,2016,24100,1,1,3,28,1,1,3,3, , ,5, , ,2, , , , , , , ,2017,24100,1,1,3,29,1,1,1,1, , ,2, , ,2, , , , , , , ,2018,24100,1,1,4,30,1,1,1,1, , , , , ,2, ,4, , ,3, , ,2019
2420001,24200,1,1,6,57,1,1,3,2, , , , , ,2, , , , , , , ,2016,24200,1,1,6,58,1,1,3,2, , ,1, , ,1,16,2,3, ,2,3, ,2017,24200,1,1,6,59,1,1,3,2,1,1, ,1, ,2, , , , , , , ,2018,24200,1,1,7,60,1,1,3,1, , , , , ,1,23,2,3,1,3,2,1,2019
2420002,24200,1,2,6,50,1,1,3,4, , , , , ,1,12, , , , , , ,2016,24200,1,2,6,51,1,1,3,4, , , , , ,2, , , , , , , ,2017,24200,1,2,6,52,1,1,3,1, ,1, , , ,2, , , , , , , ,2018,24200,1,2,6,53,1,1,3,1, , , , , ,1,23, , , , , , ,2019
2420003,24200,1,1,3,23,1,1,3,1, , , , , ,2, ,2,4, ,3,3, ,2016,24200,1,1,3,24,2,0, , , , , , , ,2, ,2, , ,3, , ,2017,24200,1,1,3,25,1,1,3,1, , , , , ,2, ,4,2, ,3,3, ,2018,24200,1,1,3,26,1,1,3,1, , , , , ,1,15,2,4, ,3,3, ,2019
2420004,24200,1,1,2,19,1,1,3,1, , , , , ,1,2, , , , , , ,2016,24200,1,1,3,20,1,1,3,1, , , , , ,2, , , , , , , ,2017,24200,1,1,3,21,1,1,3,1,1,1, ,1,1,1,2, , , , , , ,2018,24200,1,1,3,22,1,1,3,1, , ,3,1,1,1,2, , , , , , ,2019
2430001,24300,1,1,5,40,1,1,2,1, , , , , ,1,12,3,2,1,3,4,1,2016,24300,1,1,5,41,1,1,2,1, , , , , ,1,2,3, , ,3, , ,2017,24300,1,1,5,42,1,1,2,1, , , , , ,1,2,2, , ,3, , ,2018,24300,1,1,5,43,1,1,2,1, , , , , ,1,2,3,4, ,3,4, ,2019
