pid,hid2016,area_siz2016,gender2016,age_gr2016,age2016,mob_use2016,mob_num2016,mob_csp2016,mob_dev2016,c01_gr2016,c02_gr2016,c03_gr2016,c04_gr2016,c05_gr2016,sns_use2016,freq_sns12016,news_med12016,news_med22016,news_med32016,news_plat12016,news_plat22016,news_plat32016,year2016,hid2017,area_siz2017,gender2017,age_gr2017,age2017,mob_use2017,mob_num2017,mob_csp2017,mob_dev2017,c01_gr2017,c02_gr2017,c03_gr2017,c04_gr2017,c05_gr2017,sns_use2017,freq_sns12017,news_med12017,news_med22017,news_med32017,news_plat12017,news_plat22017,news_plat32017,year2017,hid2018,area_siz2018,gender2018,age_gr2018,age2018,mob_use2018,mob_num2018,mob_csp2018,mob_dev2018,c01_gr2018,c02_gr2018,c03_gr2018,c04_gr2018,c05_gr2018,sns_use2018,freq_sns12018,news_med12018,news_med22018,news_med32018,news_plat12018,news_plat22018,news_plat32018,year2018,hid2019,area_siz2019,gender2019,age_gr2019,age2019,mob_use2019,mob_num2019,mob_csp2019,mob_dev2019,c01_gr2019,c02_gr2019,c03_gr2019,c04_gr2019,c05_gr2019,sns_use2019,freq_sns12019,news_med12019,news_med22019,news_med32019,news_plat12019,news_plat22019,news_plat32019,year2019
130002,1300,1,2,7,66,1,1,2,1, , , , , ,2, , , , , , , ,2016,1300,1,2,7,67,1,0, , , , , , , ,2, , , , , , , ,2017,1300,1,2,7,68,1,0, , , , , , , ,2, , , , , , , ,2018,1300,1,2,7,69,1,1,3,2, , , , , ,2, ,3, , ,3, , ,2019
160001,1600,1,1,7,65,1,1,1,1, , , , , ,2, , , , , , , ,2016,1600,1,1,7,66,1,1,1,1,1, , , ,1,2, ,1,2,4,1,3,3,2017,1600,1,1,7,67,1,1,3,2, , , , , ,2, ,3, , ,3, , ,2018,1600,1,1,7,68,1,1,2,1, , , , , ,2, ,3, , ,3, , ,2019
160002,1600,1,2,7,64,1,1,2,2, , , , , ,2, , , , , , , ,2016,1600,1,2,7,65,1,1,1,1, , , ,1,1,2, ,3, , ,3, , ,2017,1600,1,2,7,66,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2018,1600,1,2,7,67,1,1,2,2, , , , , ,2, ,3, , ,3, , ,2019
180001,1800,1,2,5,49,1,1,2,1, , , , , ,2, , , , , , , ,2016,1800,1,2,6,50,1,1,2,2, , , , , ,2, , , , , , , ,2017,1800,1,2,6,51,1,1,2,1, , , , , ,2, ,3, , ,3, , ,2018,1800,1,2,6,52,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2019
220001,2200,1,1,7,64,1,1,1,1, , , , , ,2, , , , , , , ,2016,2200,1,1,7,65,1,1,3,2, , , , , ,2, ,3, , ,3, , ,2017,2200,1,1,7,66,1,1,3,1, ,1, ,1, ,1,12,3, , ,3, , ,2018,2200,1,1,7,67,1,1,3,2,1,1,1, , ,2, , , , , , , ,2019
220002,2200,1,2,7,62,1,1,1,1, , , , , ,2, , , , , , , ,2016,2200,1,2,7,63,1,1,3,1, , , , , ,2, , , , , , , ,2017,2200,1,2,7,64,1,1,3,1, ,1, ,1, ,1,12, , , , , , ,2018,2200,1,2,7,65,1,1,3,1,1,1,1, , ,2, , , , , , , ,2019
230001,2300,1,1,6,55,1,1,1,1, , , , , ,2, ,1, , ,1, , ,2016,2300,1,1,6,56,1,1,2,1, , , , , ,2, ,3, , ,3, , ,2017,2300,1,1,6,57,1,1,2,1, , , , , ,2, ,1, , ,1, , ,2018,2300,1,1,6,58,1,1,1,1,1,1,3,1,1,2, , , , , , , ,2019
230002,2300,1,2,7,61,1,1,1,1, , , , , ,2, , , , , , , ,2016,2300,1,2,7,62,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2017,2300,1,2,7,63,1,1,2,1, , , , , ,2, , , , , , , ,2018,2300,1,2,7,64,1,1,2,1,1,1, , , ,2, , , , , , , ,2019
250002,2500,1,1,5,42,1,1,1,1, , , , , ,2, , , , , , , ,2016,2500,1,1,5,43,1,1,1,1, , , , , ,1,1,3, , ,3, , ,2017,2500,1,1,5,44,1,1,1,2,1,1, ,1,1,1,12,3, , ,3, , ,2018,2500,1,1,5,45,1,1,3,1, ,1,1,1,1,1,12, , , , , , ,2019
260001,2600,1,1,6,55,1,1,1,1, , , , , ,2, , , , , , , ,2016,2600,1,1,6,56,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2017,2600,1,1,6,57,1,1,1,1, , , , , ,2, ,2,3, ,3,3, ,2018,2600,1,1,6,58,1,1,2,1,1,1,1, , ,2, , , , , , , ,2019
