20112207,6,미션임파서블:고스트프로토콜,2011-12-15,"37,765,048,000",3.1%,"4,975,161","1,024","61,251"
20102414,7,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,"35,841,769,500",2.9%,"4,786,259",634,"84,189"
20112534,8,도가니,2011-09-22,"35,566,854,800",2.9%,"4,662,822",756,"88,337"
20111009,9,해리포터와 죽음의 성물2,2011-07-13,"34,507,600,000",2.8%,"4,400,270",757,"70,380"
20112173,10,리얼 스틸,2011-10-12,"26,566,677,000",2.1%,"3,579,666",603,"87,650"
20110294,11,캐리비안의 해적: 낯선 조류,2011-05-19,"27,279,967,500",2.2%,"3,130,046",960,"67,036"
20110290,12,퀵,2011-07-20,"22,960,890,000",1.9%,"3,125,069",514,"60,714"
20119515,13,고지전,2011-07-20,"21,968,557,600",1.8%,"2,945,137",585,"53,738"
20113381,14,오싹한 연애,2011-12-01,"20,289,813,500",1.6%,"2,777,998",544,"54,630"
20110896,15,혹성탈출: 진화의 시작,2011-08-17,"20,629,757,000",1.7%,"2,773,794",514,"61,229"
20119618,16,위험한 상견례,2011-03-31,"19,174,920,500",1.6%,"2,595,625",524,"75,068"
20110561,17,엑스맨: 퍼스트 클래스,2011-06-02,"19,075,363,000",1.5%,"2,533,852",587,"56,827"
20110613,18,의뢰인,2011-09-29,"17,797,042,500",1.4%,"2,393,086",522,"58,414"
20112272,19,가문의 영광4 - 가문의 수난,2011-09-07,"17,792,219,500",1.4%,"2,368,267",537,"48,432"
20110297,20,블라인드,2011-08-10,"18,390,012,500",1.5%,"2,367,942",404,"49,358"
20119513,21,7광구,2011-08-04,"19,391,653,500",1.6%,"2,242,510",812,"47,346"
20110279,22,마당을 나온 암탉,2011-07-28,"14,668,226,000",1.2%,"2,201,273",363,"39,224"
20101209,23,라스트 갓파더,2010-12-29,"14,558,299,500",1.2%,"1,998,059",547,"38,175"
20102416,24,글러브,2011-01-20,"13,756,104,000",1.1%,"1,887,731",605,"44,725"
