pid,hid,area_siz,gender,age_gr,age,mob_use,mob_num,mob_csp,mob_dev,c01_gr,c02_gr,c03_gr,c04_gr,c05_gr,sns_use,freq_sns1,news_med1,news_med2,news_med3,news_plat1,news_plat2,news_plat3,year
730001,7300,1,1,6,55,1,1,2,1, , , , , ,2, ,1, , ,1, , ,2016
730002,7300,1,2,6,51,1,1,1,1, , , , , ,2, , , , , , , ,2016
730004,7300,1,1,3,23,1,1,3,1,1,1,1,2,5,1,2,3, , ,3, , ,2016
740001,7400,1,1,6,52,1,1,2,1, , , , , ,1,12,1,2, ,1,3, ,2016
740002,7400,1,2,5,48,1,1,2,1, , , , , ,1,12, , , , , , ,2016
750002,7500,1,2,6,53,1,1,1,1, , , , , ,2, , , , , , , ,2016
750004,7500,1,2,3,23,1,1,1,1, , , , , ,1,16, , , , , , ,2016
760002,7600,1,2,6,51,1,1,3,1,1,3,1, ,2,1,15,4, , ,3, , ,2016
770001,7700,1,1,8,74,1,0, , , , , , , ,2, , , , , , , ,2016
770002,7700,1,2,8,71,1,0, , , , , , , ,2, , , , , , , ,2016
780001,7800,1,1,8,83,1,0, , , , , , , ,2, , , , , , , ,2016
780002,7800,1,2,8,84,1,0, , , , , , , ,2, , , , , , , ,2016
810001,8100,1,1,7,66,1,0, , , , , , , ,2, , , , , , , ,2016
810002,8100,1,2,7,61,1,1,2,2, , , , , ,2, , , , , , , ,2016
810003,8100,1,1,3,26,1,1,2,4, , , , , ,1,2, , , , , , ,2016
820001,8200,1,1,5,46,1,1,2,1, , , , , ,1,2,4,2,1,3,3,1,2016
820002,8200,1,2,5,43,1,1,2,3, , , , , ,1,17,4,2, ,3,3, ,2016
820003,8200,1,1,2,14,1,1,2,1, , , , , ,1,2, , , , , , ,2016
820004,8200,1,2,2,11,1,1,2,2, , , , , ,2, , , , , , , ,2016
820005,8200,1,2,8,70,1,1,2,2, , , , , ,1,2,4, , ,3, , ,2016
830001,8300,1,1,5,46,1,1,1,1, , , , , ,1,16, , , , , , ,2016
830002,8300,1,2,5,44,1,1,2,1, , , , , ,1,12, , , , , , ,2016
830003,8300,1,2,2,17,1,1,2,2, , , ,2, ,1,2, , , , , , ,2016
830004,8300,1,2,2,12,1,1,2,2, , , , , ,1,17, , , , , , ,2016
890001,8900,1,1,6,54,1,1,2,1, , , , , ,1,2,1, , ,1, , ,2016
890002,8900,1,2,6,52,1,1,2,2, , , , , ,2, , , , , , , ,2016
890003,8900,1,2,3,22,1,1,2,1, , , , , ,1,12, , , , , , ,2016
890004,8900,1,1,3,21,1,1,3,2, , , , , ,1,12, , , , , , ,2016
890005,8900,1,2,8,85,1,0, , , , , , , ,2, , , , , , , ,2016
930001,9300,1,1,7,65,1,1,2,1, , , , , ,2, ,2, , ,3, , ,2016
930002,9300,1,2,6,58,1,1,2,1, , , , , ,2, , , , , , , ,2016
940001,9400,1,1,6,52,1,1,1,1, , , , , ,1,12,3, , ,3, , ,2016
940002,9400,1,2,5,48,1,1,1,2, , , , , ,1,12,3, , ,3, , ,2016
940003,9400,1,2,3,25,1,1,1,2, , , , , ,1,2,3, , ,3, , ,2016
950002,9500,1,2,7,63,1,1,1,1, , , , , ,1,12,3, , ,3, , ,2016
950005,9500,1,1,3,25,1,1,1,2, , , , , ,1,2,3, , ,3, , ,2016
960002,9600,1,2,5,41,1,1,3,1, , , , , ,1,12, , , , , , ,2016
960003,9600,1,1,2,10,1,1,3,2, , , , , ,1,12, , , , , , ,2016
970001,9700,1,1,7,68,1,1,2,1, , , , , ,2, , , , , , , ,2016
970002,9700,1,2,7,66,1,0, , , , , , , ,2, , , , , , , ,2016
980001,9800,1,1,6,56,1,1,2,1, , , , , ,1,2,1, , ,1, , ,2016
980002,9800,1,2,6,56,1,1,1,1, , , , , ,1,16, , , , , , ,2016
980003,9800,1,2,4,34,1,1,1,1, , , ,2, ,1,16, , , , , , ,2016
990002,9900,1,2,7,63,1,1,1,1, , , , , ,2, , , , , , , ,2016
1000001,10000,1,1,4,39,1,1,2,1,1,1, ,2,4,1,15,4,2, ,3,3, ,2016
1000002,10000,1,2,4,38,1,1,1,2,1, , , , ,1,2,4,3, ,3,3, ,2016
1010001,10100,1,1,5,41,1,1,2,1, , ,1, , ,1,16,2, , ,3, , ,2016
1010002,10100,1,2,5,41,1,1,2,1, , ,1, ,1,1,12, , , , , , ,2016
1010003,10100,1,1,2,10,1,1,2,3, , ,1,1,1,1,16, , , , , , ,2016
1010004,10100,1,2,1,7,1,1,2,1, , ,1,1,1,1,16, , , , , , ,2016
1020003,10200,1,1,6,50,1,1,2,1, , , , , ,1,16, , , , , , ,2016
1020004,10200,1,2,6,54,1,1,2,1, , , , , ,1,16, , , , , , ,2016
1030001,10300,1,1,7,68,1,1,1,1, , , , , ,2, ,1, , ,1, , ,2016
1030002,10300,1,2,7,61,1,0, , , , , , , ,2, , , , , , , ,2016
1040001,10400,1,1,5,47,1,1,1,1, , , , , ,1,12,1,2, ,1,3, ,2016
1040002,10400,1,2,5,47,1,1,1,1, , , , , ,1,12, , , , , , ,2016
1040003,10400,1,1,3,21,1,1,1,1, , , ,1,1,1,15, , , , , , ,2016
1040004,10400,1,1,2,17,1,1,3,2, , , ,1,1,1,16, , , , , , ,2016
1060001,10600,1,1,6,50,1,1,1,1, , , , ,1,2, ,2,1, ,3,1, ,2016
1060002,10600,1,2,5,48,1,1,1,1, , , , , ,1,12, , , , , , ,2016
1070001,10700,1,1,5,45,1,1,1,3, , , , , ,1,1,2,1, ,3,1, ,2016
1070002,10700,1,2,5,42,1,1,1,1, , , , , ,2, ,2, , ,3, , ,2016
1080001,10800,1,1,8,75,1,1,2,1, , , , , ,2, , , , , , , ,2016
1080002,10800,1,2,7,67,1,1,2,2, , , , , ,2, , , , , , , ,2016
1080003,10800,1,1,5,42,1,1,1,3, , ,1, , ,1,3, , , , , , ,2016
1090001,10900,1,1,5,44,1,1,3,1, , , , , ,1,1,1, , ,1, , ,2016
1090002,10900,1,2,5,44,1,1,1,1, , , , , ,2, , , , , , , ,2016
1090004,10900,1,1,1,9,1,1,2,1, , ,1,1,1,1,16, , , , , , ,2016
1150001,11500,1,1,5,46,1,1,3,1, , ,1, , ,2, ,1, , ,1, , ,2016
1150002,11500,1,2,5,43,1,1,1,2, , , , , ,2, , , , , , , ,2016
1160001,11600,1,1,5,47,1,1,1,1, , , , ,1,2, ,2,1, ,3,1, ,2016
1160002,11600,1,2,5,48,1,1,2,1, , , , , ,1,12, , , , , , ,2016
1160004,11600,1,1,2,15,1,1,2,1, , ,1,1, ,1,16, , , , , , ,2016
1170001,11700,1,1,5,47,1,1,1,1, , , , , ,1,2,1,2, ,1,3, ,2016
1170002,11700,1,2,5,42,1,1,1,2, , ,1, , ,1,2,1, , ,1, , ,2016
1170003,11700,1,1,2,15,1,1,2,1, , ,1,1,1,1,3, , , , , , ,2016
1180001,11800,1,1,5,45,1,1,3,1, , , , , ,2, , , , , , , ,2016
1180002,11800,1,2,5,46,1,1,1,1, , , , , ,2, , , , , , , ,2016
1180003,11800,1,1,1,9,1,1,1,2, , , ,1, ,2, , , , , , , ,2016
1190002,11900,1,2,4,38,1,1,1,1, , , , , ,1,12,4, , ,3, , ,2016
1190003,11900,1,1,2,13,1,1,1,2, , , , , ,1,15,4, , ,3, , ,2016
1200001,12000,1,1,6,55,1,1,1,1, , , , , ,1,2,2,1, ,2,1, ,2016
1200002,12000,1,2,6,52,1,1,1,1, , , , , ,2, , , , , , , ,2016
1200003,12000,1,2,8,82,1,1,3,2, , , , , ,2, , , , , , , ,2016
1210001,12100,1,1,6,56,1,1,1,1, , , , , ,2, ,2,1, ,3,1, ,2016
1210002,12100,1,2,6,53,1,1,1,1, , , , , ,1,2,2, , ,3, , ,2016
1210003,12100,1,1,3,27,1,1,1,3, , , , , ,2, ,2, , ,3, , ,2016
1210004,12100,1,1,3,25,1,1,1,1, , , , , ,1,1,2, , ,3, , ,2016
1220001,12200,1,2,8,78,1,0, , , , , , , ,2, , , , , , , ,2016
1230002,12300,1,1,7,60,1,1,3,1, , , , , ,2, ,2,1, ,3,1, ,2016
1230003,12300,1,2,6,57,1,1,3,1, , , , , ,2, , , , , , , ,2016
1230005,12300,1,2,3,24,1,1,3,1, , , , , ,2, ,2, , ,3, , ,2016
1240001,12400,1,1,8,74,1,1,3,1, , , , , ,2, ,2, , ,3, , ,2016
1240002,12400,1,2,8,70,1,0, , , , , , , ,2, , , , , , , ,2016
1260001,12600,1,1,6,54,1,1,2,2, , , , , ,2, ,2, , ,3, , ,2016
1260002,12600,1,2,6,53,1,1,2,2, , , , , ,2, , , , , , , ,2016
1260003,12600,1,1,3,21,1,1,1,1, , , ,1, ,1,1, , , , , , ,2016
1270001,12700,1,1,6,54,1,1,1,1, , , , , ,1,3,2, , ,3, , ,2016
1280001,12800,1,2,5,47,1,1,1,1, , , , , ,1,12,2, , ,3, , ,2016
1290001,12900,1,1,6,52,1,1,1,1, , , , , ,2, ,2, , ,3, , ,2016
1290002,12900,1,2,6,52,1,1,1,1, , , , , ,1,1,2, , ,3, , ,2016
1290003,12900,1,1,3,26,1,1,1,2, , , , , ,1,2,2, , ,4, , ,2016
1300001,13000,1,1,6,58,1,1,1,1, , , , , ,1,12,3, , ,3, , ,2016
1300002,13000,1,2,6,53,1,1,2,1, , , , , ,1,12, , , , , , ,2016
1300003,13000,1,1,3,24,1,1,2,1, , , , , ,1,2,4, , ,3, , ,2016
1300004,13000,1,1,3,26,1,1,2,1, , , , , ,1,2,4, , ,3, , ,2016
1310001,13100,1,2,4,39,1,1,1,1, , , , , ,2, , , , , , , ,2016
1310002,13100,1,1,5,40,1,1,1,1, , , , , ,2, , , , , , , ,2016
1310003,13100,1,2,2,11,1,1,1,1, , , , , ,2, , , , , , , ,2016
1320101,13201,1,1,4,31,1,1,2,1, , , , , ,2, ,2, , ,2, , ,2016
1320102,13201,1,2,3,26,1,1,2,1, , , , , ,2, , , , , , , ,2016
1330001,13300,1,2,6,54,1,1,1,1, , , , , ,2, , , , , , , ,2016
1340001,13400,1,1,4,35,1,1,2,1, , , , , ,2, ,4, , ,3, , ,2016
1340002,13400,1,2,4,35,1,1,2,3, , , , , ,2, , , , , , , ,2016
1350001,13500,1,2,7,66,1,0, , , , , , , ,2, , , , , , , ,2016
1360001,13600,1,1,8,70,1,1,1,2, , , , , ,2, , , , , , , ,2016
1360002,13600,1,2,7,62,1,1,2,1, , , , , ,2, , , , , , , ,2016
1380001,13800,1,1,7,67,1,1,3,2, , , , , ,2, , , , , , , ,2016
1380002,13800,1,2,7,66,1,1,3,2, , , , , ,2, , , , , , , ,2016
1470003,14700,1,2,3,27,1,1,1,1, , , ,2, ,1,1,2, , ,2, , ,2016
1480002,14800,1,2,5,43,1,1,3,3, , , , , ,2, , , , , , , ,2016
1490001,14900,1,1,4,37,1,1,1,1, , , , , ,1,1,1,2,3,1,2,4,2016
1490002,14900,1,2,4,33,1,1,2,1, , , , , ,2, ,1, , ,1, , ,2016
1500002,15000,1,2,5,41,1,1,1,1, , , , , ,2, , , , , , , ,2016
1500004,15000,1,2,8,75,1,0, , , , , , , ,2, , , , , , , ,2016
1510002,15100,1,2,6,59,1,1,2,1, , , , , ,2, , , , , , , ,2016
1520002,15200,1,2,7,66,1,1,1,1, , , , , ,2, , , , , , , ,2016
1530002,15300,1,2,6,59,1,1,2,1, , , , , ,2, , , , , , , ,2016
1540002,15400,1,2,6,57,1,1,1,2, , , , , ,2, , , , , , , ,2016
1540003,15400,1,1,4,30,1,1,1,1, , , , , ,1,1, , , , , , ,2016
1550001,15500,1,2,4,34,1,1,1,1, , , , , ,2, , , , , , , ,2016
1560001,15600,1,2,7,60,1,1,3,1, , , , , ,1,12,4, , ,3, , ,2016
1560002,15600,1,1,4,35,1,1,3,1, , , , , ,1,2,3, , ,3, , ,2016
1570001,15700,1,2,5,47,1,1,3,1, , , , , ,1,12, , , , , , ,2016
1580001,15800,1,2,6,58,1,1,2,1, , , , , ,1,12, , , , , , ,2016
1590001,15900,1,1,6,57,1,1,3,2, , , , , ,1,12,3, , ,3, , ,2016
1590002,15900,1,2,6,54,1,1,3,1, , , , , ,1,12, , , , , , ,2016
1600001,16000,1,2,4,33,1,1,3,1, , , , , ,1,12, , , , , , ,2016
1610001,16100,1,1,7,60,1,1,1,2, , , , , ,1,12,3, , ,3, , ,2016
1610002,16100,1,2,6,56,1,1,1,1, , , , , ,1,12,3, , ,3, , ,2016
1620001,16200,1,2,4,36,1,1,1,1, , , , , ,1,12, , , , , , ,2016
1630001,16300,1,1,6,50,1,1,2,1, , , , , ,1,12,1, , ,1, , ,2016
1630002,16300,1,2,6,50,1,1,2,2, , , , , ,1,12, , , , , , ,2016
1640001,16400,1,1,6,51,1,1,1,1, , , , , ,1,12,3, , ,3, , ,2016
1640002,16400,1,2,5,48,1,1,1,1, , , , , ,1,12,3, , ,3, , ,2016
1650001,16500,1,1,5,42,1,1,1,1, , , , , ,1,12, , , , , , ,2016
1650002,16500,1,2,5,41,1,1,2,2, , , , , ,1,12, , , , , , ,2016
1660001,16600,1,1,6,50,1,1,1,1, , , , , ,1,2,2, , ,3, , ,2016
1660002,16600,1,2,5,41,1,1,1,1, , , , , ,1,12,3, , ,3, , ,2016
1670001,16700,1,1,5,41,1,1,1,2, , , , , ,2, ,3, , ,3, , ,2016
1670002,16700,1,2,4,36,1,1,1,2, , , , , ,1,2, , , , , , ,2016
1680002,16800,1,2,5,47,1,1,3,1, , , , , ,1,12, , , , , , ,2016
1680003,16800,1,1,3,21,1,1,3,1, , , , , ,1,12,3, , ,3, , ,2016
1690001,16900,1,1,5,43,1,1,2,1, , , , , ,1,12,3, , ,3, , ,2016
1690002,16900,1,2,5,41,1,1,2,2, , , , , ,1,12,3, , ,3, , ,2016
1700001,17000,1,1,5,41,1,1,3,2, , , , , ,1,12,2, , ,3, , ,2016
1700002,17000,1,2,4,36,1,1,3,1, , , , , ,1,12, , , , , , ,2016
1710001,17100,1,1,6,50,1,1,1,1, , , , , ,1,2,3, , ,3, , ,2016
1710002,17100,1,2,5,48,1,1,3,2, , , , , ,1,12,3, , ,3, , ,2016
1720001,17200,1,1,5,47,1,1,1,1, ,3, , , ,1,2, , , , , , ,2016
