사업장명,도로명전체,인허가일자,영업상태명,위생업태명,GRS80_X,GRS80_Y,x_wgs84,y_wgs84
꼴닭 일광점,부산광역시 기장군 일광면 삼성3길 31,20080704,운영중,통닭(치킨),403358.377187,298710.965859,129.23467342735213,35.264332012957134
치킨신드롬(정관1호점),"부산광역시 기장군 정관면 정관2로 24, 104호 (휴먼시아2단지 주상가동)",20100323,운영중,통닭(치킨),396803.130597,306093.312578,129.16445593563773,35.332133157504906
교촌치킨,부산광역시 기장군 기장읍 차성로344번길 12,20101117,운영중,통닭(치킨),401569.797775,296857.500599,129.21457780144092,35.24799974394673
옛날통닭,"부산광역시 기장군 정관면 정관로 545, 501동 102호 (이진캐스빌상가)",20150112,운영중,통닭(치킨),397752.060559,305104.86053,129.17464709998524,35.32304307003671
아리아치킨,부산광역시 기장군 기장읍 대청로45번길 61,20111206,운영중,통닭(치킨),401652.552068,296054.280374,129.21528952708346,35.24074873173402
교촌치킨 정관1호점,"부산광역시 기장군 정관읍 구연3로 5, 102호 (신세계빌딩)",20120531,운영중,통닭(치킨),398338.458838,304830.050982,129.18102496684008,35.32045178189775
BBQ 프리미엄 카페,부산광역시 기장군 정관면 정관로 704,20131122,운영중,통닭(치킨),399142.394209,304908.895598,129.18987883710528,35.32100215935356
땅땅치킨(정관1호점),"부산광역시 기장군 정관면 정관4로 24, 501(상가)동 지하1층 B101호 (동일스위트)",20131126,운영중,통닭(치킨),397290.322546,305213.241331,129.16959878224475,35.324110444356016
꾸바꾸바(정관점),부산광역시 기장군 정관면 정관2로 40 (현진에버빌단지상가 102호),20141105,운영중,통닭(치킨),397131.878209,306243.294276,129.16810531341912,35.33341924904825
구이오감치킨 정관점(32호점),"부산광역시 기장군 정관면 정관로 501-21, 102호",20120703,운영중,통닭(치킨),397452.646902,305412.576457,129.1714307470684,35.32587378854827
삼통치킨,"경기도 안양시 동안구 흥안대로456번길 22 (평촌동, 지상1층)",20031009,운영중,통닭(치킨),197961.881619,532756.525092,126.97698344713604,37.39415022845838
코코넷치킨,"경기도 안양시 만안구 안양로468번길 32 (석수동,지상1층)",20021120,운영중,통닭(치킨),192254.697082,534753.590664,126.91251110787853,37.41211407664014
