pid,hid,area_siz,gender,age_gr,age,mob_use,mob_num,mob_csp,mob_dev,c01_gr,c02_gr,c03_gr,c04_gr,c05_gr,sns_use,freq_sns1,news_med1,news_med2,news_med3,news_plat1,news_plat2,news_plat3,year
10001,100,1,1,6,52,1,1,1,1, , ,1, , ,1,15,3,4, ,3,2, ,2019
10002,100,1,2,5,47,1,1,1,1, , ,1,1, ,1,15,3,4, ,3,2, ,2019
20001,200,1,1,6,54,1,1,3,1, , , , , ,1,16,4, , ,3, , ,2019
30001,300,1,1,5,48,1,1,2,2, , , , , ,2, ,3, , ,3, , ,2019
30002,300,1,2,5,45,1,1,2,2, , , , , ,2, , , , , , , ,2019
30003,300,1,1,2,17,1,1,2,2, , , , , ,2, , , , , , , ,2019
30004,300,1,1,2,11,1,0, , , , , , , ,2, , , , , , , ,2019
40002,400,1,2,5,43,1,1,1,1, , , , , ,2, , , , , , , ,2019
40003,400,1,1,2,13,1,1,1,1, , , , , ,2, , , , , , , ,2019
40004,400,1,2,2,12,1,1,1,1, , , , , ,2, , , , , , , ,2019
50001,500,1,1,5,47,2, , , , , , , , ,2, ,2, , ,3, , ,2019
50002,500,1,2,5,42,1,1,1,1, , , , , ,2, ,4, , ,3, , ,2019
50003,500,1,2,2,13,1,1,1,1, , , , , ,2, , , , , , , ,2019
50004,500,1,2,2,12,1,1,1,1, , , , , ,2, , , , , , , ,2019
60001,600,1,1,6,50,1,1,1,2, , , , , ,2, ,2,3, ,3,3, ,2019
60002,600,1,2,5,46,1,1,1,1, , , , , ,2, ,3,2, ,3,3, ,2019
60003,600,1,2,2,18,1,1,1,1, , , , , ,1,1, , , , , , ,2019
60004,600,1,2,2,13,1,1,1,1, , , , , ,1,15, , , , , , ,2019
80001,800,1,1,7,69,1,0, , , , , , , ,2, , , , , , , ,2019
90001,900,1,1,6,56,1,1,1,1, , ,3, , ,2, , , , , , , ,2019
100001,1000,1,1,5,40,1,1,2,3, , ,3,3, ,1,2,2,1,4,3,1,3,2019
100002,1000,1,2,5,40,1,1,2,1, , , , , ,1,16,4, , ,3, , ,2019
100003,1000,1,1,1,9,1,1,2,2, , , , , ,2, , , , , , , ,2019
120001,1200,1,1,6,53,1,1,2,1, , , , , ,1,2,3,2, ,3,3, ,2019
120002,1200,1,2,6,53,1,1,2,1, , , , , ,1,1,3,2, ,3,3, ,2019
120003,1200,1,1,3,28,1,1,2,3, , , , , ,2, ,3,2, ,3,2, ,2019
120004,1200,1,2,3,26,1,1,3,2, , , , ,4,2, ,3,2, ,3,3, ,2019
130001,1300,1,1,8,72,1,1,3,1, , , , , ,2, ,3, , ,3, , ,2019
130002,1300,1,2,7,69,1,1,3,2, , , , , ,2, ,3, , ,3, , ,2019
140001,1400,1,2,6,57,1,1,3,2,1,1, , , ,2, , , , , , , ,2019
160001,1600,1,1,7,68,1,1,2,1, , , , , ,2, ,3, , ,3, , ,2019
160002,1600,1,2,7,67,1,1,2,2, , , , , ,2, ,3, , ,3, , ,2019
180001,1800,1,2,6,52,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2019
220001,2200,1,1,7,67,1,1,3,2,1,1,1, , ,2, , , , , , , ,2019
220002,2200,1,2,7,65,1,1,3,1,1,1,1, , ,2, , , , , , , ,2019
230001,2300,1,1,6,58,1,1,1,1,1,1,3,1,1,2, , , , , , , ,2019
