pid,hid,area_siz,gender,age_gr,age,mob_use,mob_num,mob_csp,mob_dev,c01_gr,c02_gr,c03_gr,c04_gr,c05_gr,sns_use,freq_sns1,news_med1,news_med2,news_med3,news_plat1,news_plat2,news_plat3,year
10001,100,1,1,6,51,1,1,2,1, , , , , ,1,16,3, , ,3, , ,2018
10002,100,1,2,5,46,1,1,1,1,1, , ,1,1,1,16, , , , , , ,2018
20001,200,1,1,6,53,1,1,2,1, , , , , ,1,16, , , , , , ,2018
30001,300,1,1,5,47,1,1,3,2, , , , , ,2, ,3, , ,3, , ,2018
30002,300,1,2,5,44,1,1,1,2, , , , , ,2, , , , , , , ,2018
30003,300,1,1,2,16,1,1,2,3, , , , , ,2, ,3, , ,3, , ,2018
30004,300,1,1,2,10,1,0, , , , , , , ,2, , , , , , , ,2018
40001,400,1,1,5,41,1,1,3,1, , , , , ,1,2, , , , , , ,2018
40002,400,1,2,5,42,1,1,1,1, , , , , ,2, , , , , , , ,2018
40003,400,1,1,2,12,1,1,1,1, , , , , ,2, , , , , , , ,2018
40004,400,1,2,2,11,1,1,1,1, , , , , ,2, , , , , , , ,2018
50001,500,1,1,5,46,1,1,1,1, , , , , ,2, ,4, , ,3, , ,2018
50002,500,1,2,5,41,1,1,1,1, , , , , ,2, ,4, , ,3, , ,2018
50003,500,1,2,2,12,1,1,1,1, , , , , ,2, , , , , , , ,2018
50004,500,1,2,2,11,1,1,1,3, , , , , ,2, , , , , , , ,2018
60001,600,1,1,5,49,1,1,1,4, , ,1, , ,2, ,3,2, ,3,3, ,2018
60002,600,1,2,5,45,1,1,1,1, , , , , ,1,2,3,2, ,3,3, ,2018
60003,600,1,2,2,17,1,1,1,4, , , , ,2,1,1, , , , , , ,2018
60004,600,1,2,2,12,1,1,1,1, , , , , ,1,16, , , , , , ,2018
80001,800,1,1,7,68,1,0, , , , , , , ,2, , , , , , , ,2018
90001,900,1,1,6,55,1,1,1,1, , ,3, , ,2, ,1,3, ,1,3, ,2018
100001,1000,1,1,4,39,1,1,2,3, ,3, ,2, ,1,2,3,1,3,3,1,4,2018
100002,1000,1,2,4,39,1,1,2,3, , , , , ,1,2,3,1,3,3,1,4,2018
100003,1000,1,1,1,8,1,0, , , , , , , ,2, , , , , , , ,2018
110002,1100,1,2,6,59,1,1,1,1, , , , , ,2, , , , , , , ,2018
120001,1200,1,1,6,52,1,1,3,1, ,1,1,1, ,2, ,3, , ,3, , ,2018
120002,1200,1,2,6,52,1,1,3,1, , ,1, , ,2, ,3, , ,3, , ,2018
120003,1200,1,1,3,27,1,1,1,3,1,1,1,1,1,2, ,3,2, ,3,3, ,2018
120004,1200,1,2,3,25,1,1,1,3, ,1,1,1, ,2, ,3,2, ,3,3, ,2018
130001,1300,1,1,8,71,1,1,1,2, , , , , ,2, , , , , , , ,2018
130002,1300,1,2,7,68,1,0, , , , , , , ,2, , , , , , , ,2018
140001,1400,1,2,6,56,1,1,3,1, ,1, , , ,2, ,3, , ,3, , ,2018
160001,1600,1,1,7,67,1,1,3,2, , , , , ,2, ,3, , ,3, , ,2018
160002,1600,1,2,7,66,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2018
170001,1700,1,2,8,71,1,0, , , , , , , ,2, , , , , , , ,2018
180001,1800,1,2,6,51,1,1,2,1, , , , , ,2, ,3, , ,3, , ,2018
220001,2200,1,1,7,66,1,1,3,1, ,1, ,1, ,1,12,3, , ,3, , ,2018
220002,2200,1,2,7,64,1,1,3,1, ,1, ,1, ,1,12, , , , , , ,2018
230001,2300,1,1,6,57,1,1,2,1, , , , , ,2, ,1, , ,1, , ,2018
230002,2300,1,2,7,63,1,1,2,1, , , , , ,2, , , , , , , ,2018
250002,2500,1,1,5,44,1,1,1,2,1,1, ,1,1,1,12,3, , ,3, , ,2018
260001,2600,1,1,6,57,1,1,1,1, , , , , ,2, ,2,3, ,3,3, ,2018
260002,2600,1,2,6,55,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2018
270001,2700,1,1,7,64,1,1,4,1, , , , , ,1,12, , , , , , ,2018
270002,2700,1,2,6,52,1,1,2,1, , , , , ,1,12, , , , , , ,2018
280001,2800,1,2,8,85,1,0, , , , , , , ,2, , , , , , , ,2018
290001,2900,1,2,7,63,1,0, , , , , , , ,2, , , , , , , ,2018
290002,2900,1,1,6,56,1,1,2,2, , , , , ,1,2,4, , ,3, , ,2018
290003,2900,1,2,4,33,1,1,2,1,1, ,3,1,1,1,2,2, , ,3, , ,2018
300001,3000,1,2,6,55,1,1,1,1,1,1, ,1,7,1,2,4,2, ,3,3, ,2018
300002,3000,1,2,3,28,1,1,1,1,2,1,1,1,3,1,16,4, , ,3, , ,2018
300003,3000,1,2,4,31,1,1,1,1,1, ,2, , ,1,2,3, , ,4, , ,2018
300004,3000,1,1,3,29,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,3,2018
310001,3100,1,1,6,59,1,1,1,2, ,1,1,1,1,1,12,3, , ,3, , ,2018
310002,3100,1,2,6,55,1,1,2,1,1,1,1,1,1,1,1,3,4, ,4,3, ,2018
310003,3100,1,2,3,26,1,1,3,1,1,1,1,1,3,1,16,4,2, ,3,3, ,2018
310004,3100,1,2,3,24,1,1,1,1,1,1,1,1,1,1,16,3, , ,4, , ,2018
320001,3200,1,1,8,82,2,0, , , , , , , ,2, , , , , , , ,2018
320002,3200,1,2,8,81,1,0, , , , , , , ,2, , , , , , , ,2018
320003,3200,1,1,5,47,1,1,3,1, , , , , ,1,15, , , , , , ,2018
330001,3300,1,2,8,79,1,0, , , , , , , ,2, , , , , , , ,2018
340001,3400,1,1,6,54,1,0, , , , , , , ,2, , , , , , , ,2018
340003,3400,1,1,3,27,1,1,1,1,1,1,1,1,1,1,15, , , , , , ,2018
340004,3400,1,1,3,21,1,1,3,1,1,1,1,2,3,1,16, , , , , , ,2018
350001,3500,1,1,7,63,1,1,1,1, ,1, , , ,2, , , , , , , ,2018
350002,3500,1,1,4,31,1,1,1,2, , , , , ,1,2,3, , ,4, , ,2018
350003,3500,1,2,7,64,1,1,1,1,1,1,1,1,1,1,16, , , , , , ,2018
360001,3600,1,1,5,46,1,1,1,1,1,1,1,1,1,2, ,3, , ,3, , ,2018
360002,3600,1,2,5,41,1,1,1,2,1,1,1,1,1,1,12,3, , ,3, , ,2018
